Sura;Aya;Bagian;Arabic;Transliteration
2;7;1;خَتَمَ اللّٰهُ عَلٰى قُلُوْبِهِمْ وَعَلٰى سَمْعِهِمْ ۗ وَعَلٰٓى;khatamallāhu 'alā qulụbihim wa 'alā sam'ihim, wa 'a
2;7;2;اَبْصَارِهِمْ غِشَاوَةٌ وَّلَهُمْ عَذَابٌ عَظِيْمٌ ࣖ;ā abṣārihim gisyāwatuw wa lahum 'ażābun 'aẓīm
2;8;1;وَمِنَ النَّاسِ مَنْ يَّقُوْلُ اٰمَنَّا بِاللّٰهِ وَبِالْيَوْمِ الْاٰخِرِ وَمَا هُمْ بِمُؤْمِنِيْنَۘ;wa minan-nāsi may yaqụlu āmannā billāhi wa bil-yaumil-ākhiri wa mā hum bimu`minīn
2;9;1;يُخٰدِعُوْنَ اللّٰهَ وَالَّذِيْنَ اٰمَنُوْا ۚ وَمَا يَخْدَعُوْنَ اِلَّآ اَنْفُسَهُمْ وَمَا يَشْعُرُوْنَۗ;yukhādi'ụnallāha wallażīna āmanụ, wa mā yakhda'ụna illā anfusahum wa mā yasy'urụn
2;10;1;فِيْ قُلُوْبِهِمْ مَّرَضٌۙ فَزَادَهُمُ اللّٰهُ مَرَضًاۚ;fī qulụbihim maraḍun fa zādahumullāhu maraḍā,
2;10;2;وَلَهُمْ عَذَابٌ اَلِيْمٌ ۢ ەۙ بِمَا كَانُوْا يَكْذِبُوْنَ;wa lahum 'ażābun alīmum bimā kānụ yakżibụn
2;11;1;وَاِذَا قِيْلَ لَهُمْ لَا تُفْسِدُوْا فِى الْاَرْضِۙ قَالُوْٓا اِنَّمَا نَحْنُ مُصْلِحُوْنَ;wa iżā qīla lahum lā tufsidụ fil arḍi qālū innamā naḥnu muṣliḥụn
2;12;1;اَلَآ اِنَّهُمْ هُمُ الْمُفْسِدُوْنَ وَلٰكِنْ لَّا يَشْعُرُوْنَ;alā innahum humul-mufsidụna wa lākil lā yasy'urụn
2;13;1;وَاِذَا قِيْلَ لَهُمْ اٰمِنُوْا كَمَآ اٰمَنَ النَّاسُ قَالُوْٓا اَنُؤْمِنُ كَمَآ اٰمَنَ; iżā qīla lahum āminụ kamā āmanan-nāsu qālū a nu`minu kamā āmana
2;13;2;السُّفَهَاۤءُ ۗ اَلَآ اِنَّهُمْ هُمُ السُّفَهَاۤءُ وَلٰكِنْ لَّا يَعْلَمُوْنَ;nas-sufahā`, alā innahum humus-sufahā`u wa lākil lā ya'lamụn
2;14;1;وَاِذَا لَقُوا الَّذِيْنَ اٰمَنُوْا قَالُوْٓا اٰمَنَّا ۚ وَاِذَا خَلَوْا اِلٰى;iżā laqullażīna āmanụ qālū āmannā, wa iżā khalau ilā
2;14;2;شَيٰطِيْنِهِمْ ۙ قَالُوْٓا اِنَّا مَعَكُمْ ۙاِنَّمَا نَحْنُ مُسْتَهْزِءُوْنَ; syayāṭīnihim qālū innā ma'akum innamā naḥnu mustahzi`ụn
2;15;1;اَللّٰهُ يَسْتَهْزِئُ بِهِمْ وَيَمُدُّهُمْ فِيْ طُغْيَانِهِمْ يَعْمَهُوْنَ;allāhu yastahzi`u bihim wa yamudduhum fī ṭugyānihim ya'mahụn
2;16;1;اُولٰۤىِٕكَ الَّذِيْنَ اشْتَرَوُا الضَّلٰلَةَ بِالْهُدٰىۖ;ulā`ikallażīnasytarawuḍ-ḍalālata bil-hudā 
2;16;2;فَمَا رَبِحَتْ تِّجَارَتُهُمْ وَمَا كَانُوْا مُهْتَدِيْنَ;fa mā rabiḥat tijāratuhum wa mā kānụ muhtadī
2;17;1;مَثَلُهُمْ كَمَثَلِ الَّذِى اسْتَوْقَدَ نَارًا ۚ فَلَمَّآ اَضَاۤءَتْ مَا حَوْلَهٗ;maṡaluhum kamaṡalillażistauqada nārā, fa lammā aḍā`at mā ḥaulahụ 
2;17;2;ذَهَبَ اللّٰهُ بِنُوْرِهِمْ وَتَرَكَهُمْ فِيْ ظُلُمٰتٍ لَّا يُبْصِرُوْنَ;żahaballāhu binụrihim wa tarakahum fī ẓulumātil lā yubṣirụn
2;18;1;صُمٌّ ۢ بُكْمٌ عُمْيٌ فَهُمْ لَا يَرْجِعُوْنَۙ;ṣummum bukmun 'umyun fa hum lā yarji'ụn
2;19;1;اَوْ كَصَيِّبٍ مِّنَ السَّمَاۤءِ فِيْهِ ظُلُمٰتٌ وَّرَعْدٌ وَّبَرْقٌۚ;au kaṣayyibim minas-samā`i fīhi ẓulumātuw wa ra'duw wa barq, 
2;19;2;يَجْعَلُوْنَ اَصَابِعَهُمْ فِيْٓ اٰذَانِهِمْ مِّنَ الصَّوَاعِقِ;yaj'alụna aṣābi'ahum fī āżānihim minaṣ-ṣawā'iqi
2;19;3;حَذَرَ الْمَوْتِۗ وَاللّٰهُ مُحِيْطٌۢ بِالْكٰفِرِيْنَ;ḥażaral-maụt, wallāhu muḥīṭum bil-kāfirī
2;20;1;يَكَادُ الْبَرْقُ يَخْطَفُ اَبْصَارَهُمْ ۗ كُلَّمَآ اَضَاۤءَ لَهُمْ مَّشَوْا;yakādul-barqu yakhṭafu abṣārahum, kullamā aḍā`a lahum masya
2;20;2;فِيْهِ ۙ وَاِذَآ اَظْلَمَ عَلَيْهِمْ قَامُوْا ۗوَلَوْ شَاۤءَ اللّٰهُ لَذَهَبَ;fīhi wa iżā aẓlama 'alaihim qāmụ, walau syā`allāhu lażahab
2;20;3;بِسَمْعِهِمْ وَاَبْصَارِهِمْ ۗ اِنَّ اللّٰهَ عَلٰى كُلِّ شَيْءٍ قَدِيْرٌ ࣖ; bisam'ihim wa abṣārihim, innallāha 'alā kulli syai`ing qadīr
2;21;1;يٰٓاَيُّهَا النَّاسُ اعْبُدُوْا رَبَّكُمُ الَّذِيْ خَلَقَكُمْ;yā ayyuhan-nāsu'budụ rabbakumullażī khalaqakum 
2;21;2;وَالَّذِيْنَ مِنْ قَبْلِكُمْ لَعَلَّكُمْ تَتَّقُوْنَۙ; wallażīna ming qablikum la'allakum tattaqụn
2;22;1;الَّذِيْ جَعَلَ لَكُمُ الْاَرْضَ فِرَاشًا وَّالسَّمَاۤءَ بِنَاۤءً ۖوَّاَنْزَلَ;llażī ja'ala lakumul-arḍa firāsyaw was-samā`a binā`aw wa anzala
2;22;2;مِنَ السَّمَاۤءِ مَاۤءً فَاَخْرَجَ بِهٖ مِنَ الثَّمَرٰتِ رِزْقًا لَّكُمْ; minas-samā`i mā`an fa akhraja bihī minaṡ-ṡamarāti rizqal lakum
2;22;3;ۚ فَلَا تَجْعَلُوْا لِلّٰهِ اَنْدَادًا وَّاَنْتُمْ تَعْلَمُوْنَ; fa lā taj'alụ lillāhi andādaw wa antum ta'lamụn
2;23;1;وَاِنْ كُنْتُمْ فِيْ رَيْبٍ مِّمَّا نَزَّلْنَا عَلٰى عَبْدِنَا فَأْتُوْا بِسُوْرَةٍ مِّنْ;wa ing kuntum fī raibim mimmā nazzalnā 'alā 'abdinā fa`tụ bisụratim m
2;23;2;مِّثْلِهٖ ۖ وَادْعُوْا شُهَدَاۤءَكُمْ مِّنْ دُوْنِ اللّٰهِ اِنْ كُنْتُمْ صٰدِقِيْنَ;miṡlihī wad'ụ syuhadā`akum min dụnillāhi ing kuntum ṣādiqīn
2;24;1;فَاِنْ لَّمْ تَفْعَلُوْا وَلَنْ تَفْعَلُوْا فَاتَّقُوا النَّارَ الَّتِيْ; il lam taf'alụ wa lan taf'alụ fattaqun-nārallatī
2;24;2;وَقُوْدُهَا النَّاسُ وَالْحِجَارَةُ ۖ اُعِدَّتْ لِلْكٰفِرِيْنَ;waqụduhan-nāsu wal-ḥijāratu u'iddat lil-kāfirī
2;25;1;وَبَشِّرِ الَّذِيْنَ اٰمَنُوْا وَعَمِلُوا الصّٰلِحٰتِ اَنَّ لَهُمْ جَنّٰتٍ تَجْرِيْ;wa basysyirillażīna āmanụ wa 'amiluṣ-ṣāliḥāti anna lahum jannātin taj
2;25;2;مِنْ تَحْتِهَا الْاَنْهٰرُ ۗ كُلَّمَا رُزِقُوْا مِنْهَا مِنْ ثَمَرَةٍ رِّزْقًا;min taḥtihal-an-hār, kullamā ruziqụ min-hā min ṡamaratir riz
2;25;3;ۙ قَالُوْا هٰذَا الَّذِيْ رُزِقْنَا مِنْ قَبْلُ وَاُتُوْا بِهٖ مُتَشَابِهًا ۗوَلَهُمْ; qālụ hāżallażī ruziqnā ming qablu wa utụ bihī mutasyābihā, wa l
2;25;4;فِيْهَآ اَزْوَاجٌ مُّطَهَّرَةٌ وَّهُمْ فِيْهَا خٰلِدُوْنَ;fīhā azwājum muṭahharatuw wa hum fīhā khālidụn
2;26;1;۞ اِنَّ اللّٰهَ لَا يَسْتَحْيٖٓ اَنْ يَّضْرِبَ مَثَلًا مَّا بَعُوْضَةً فَمَا فَوْقَهَا ۗ;innallāha lā yastaḥyī ay yaḍriba maṡalam mā ba'ụḍatan fa mā fauqahā
2;26;2;فَاَمَّا الَّذِيْنَ اٰمَنُوْا فَيَعْلَمُوْنَ اَنَّهُ الْحَقُّ مِنْ رَّبِّهِمْ ۚ وَاَمَّا; ammallażīna āmanụ fa ya'lamụna annahul-ḥaqqu mir rabbihim, wa amm
2;26;3;الَّذِيْنَ كَفَرُوْا فَيَقُوْلُوْنَ مَاذَآ اَرَادَ اللّٰهُ بِهٰذَا مَثَلًا ۘ يُضِلُّ;lażīna kafarụ fa yaqụlụna māżā arādallāhu bihāżā maṡalā, yuḍillu
2;26;4;بِهٖ كَثِيْرًا وَّيَهْدِيْ بِهٖ كَثِيْرًا ۗ وَمَا يُضِلُّ بِهٖٓ اِلَّا الْفٰسِقِيْنَۙ; kaṡīraw wa yahdī bihī kaṡīrā, wa mā yuḍillu bihī illal-fāsiqīn
2;27;1;الَّذِيْنَ يَنْقُضُوْنَ عَهْدَ اللّٰهِ مِنْۢ بَعْدِ مِيْثَاقِهٖۖ;llażīna yangquḍụna 'ahdallāhi mim ba'di mīṡāqih
2;27;2;وَيَقْطَعُوْنَ مَآ اَمَرَ اللّٰهُ بِهٖٓ اَنْ يُّوْصَلَ وَيُفْسِدُوْنَ;wa yaqṭa'ụna mā amarallāhu bihī ay yụṣala wa yufsid
2;27;3;فِى الْاَرْضِۗ اُولٰۤىِٕكَ هُمُ الْخٰسِرُوْنَ; fil-arḍ, ulā`ika humul-khāsir
2;28;1;كَيْفَ تَكْفُرُوْنَ بِاللّٰهِ وَكُنْتُمْ اَمْوَاتًا فَاَحْيَاكُمْۚ;kaifa takfurụna billāhi wa kuntum amwātan fa aḥyākum
2;28;2;ثُمَّ يُمِيْتُكُمْ ثُمَّ يُحْيِيْكُمْ ثُمَّ اِلَيْهِ تُرْجَعُوْنَ; ṡumma yumītukum ṡumma yuḥyīkum ṡumma ilaihi turja'ụn
2;29;1;هُوَ الَّذِيْ خَلَقَ لَكُمْ مَّا فِى الْاَرْضِ جَمِيْعًا ثُمَّ اسْتَوٰٓى اِلَى;huwallażī khalaqa lakum mā fil-arḍi jamī'an ṡummastawā ila
2;29;2;السَّمَاۤءِ فَسَوّٰىهُنَّ سَبْعَ سَمٰوٰتٍ ۗ وَهُوَ بِكُلِّ شَيْءٍ عَلِيْمٌ ࣖ;ilas-samā`i fa sawwāhunna sab'a samāwāt, wa huwa bikulli syai`in 'alīm
2;30;1;وَاِذْ قَالَ رَبُّكَ لِلْمَلٰۤىِٕكَةِ ِانِّيْ جَاعِلٌ فِى الْاَرْضِ خَلِيْفَةً ۗ قَالُوْٓا; iż qāla rabbuka lil-malā`ikati innī jā'ilun fil-arḍi khalīfah, qālū 
2;30;2;اَتَجْعَلُ فِيْهَا مَنْ يُّفْسِدُ فِيْهَا وَيَسْفِكُ الدِّمَاۤءَۚ وَنَحْنُ نُسَبِّحُ;taj'alu fīhā may yufsidu fīhā wa yasfikud-dimā`, wa naḥnu nusabbiḥu
2;30;3;بِحَمْدِكَ وَنُقَدِّسُ لَكَ ۗ قَالَ اِنِّيْٓ اَعْلَمُ مَا لَا تَعْلَمُوْنَ;biḥamdika wa nuqaddisu lak, qāla innī a'lamu mā lā ta'lamụn
2;31;1;وَعَلَّمَ اٰدَمَ الْاَسْمَاۤءَ كُلَّهَا ثُمَّ عَرَضَهُمْ عَلَى الْمَلٰۤىِٕكَةِ;wa 'allama ādamal-asmā`a kullahā ṡumma 'araḍahum 'alal-malā`ika
2;31;2;فَقَالَ اَنْۢبِـُٔوْنِيْ بِاَسْمَاۤءِ هٰٓؤُلَاۤءِ اِنْ كُنْتُمْ صٰدِقِيْنَ;i fa qāla ambi`ụnī bi`asmā`i hā`ulā`i ing kuntum ṣādiqīn
2;32;1;قَالُوْا سُبْحٰنَكَ لَا عِلْمَ لَنَآ اِلَّا مَا عَلَّمْتَنَا ۗاِنَّكَ اَنْتَ الْعَلِيْمُ الْحَكِيْمُ;qālụ sub-ḥānaka lā 'ilma lanā illā mā 'allamtanā, innaka antal-'alīmul-ḥakīm
2;33;1;قَالَ يٰٓاٰدَمُ اَنْۢبِئْهُمْ بِاَسْمَاۤىِٕهِمْ ۚ فَلَمَّآ اَنْۢبَاَهُمْ;qāla yā ādamu ambi`hum bi`asmā`ihim, fa lammā amba`ahu
2;33;2;بِاَسْمَاۤىِٕهِمْۙ قَالَ اَلَمْ اَقُلْ لَّكُمْ اِنِّيْٓ اَعْلَمُ غَيْبَ السَّمٰوٰتِ;bi`asmā`ihim qāla a lam aqul lakum innī a'lamu gaibas-samāwā
2;33;3;وَالْاَرْضِۙ وَاَعْلَمُ مَا تُبْدُوْنَ وَمَا كُنْتُمْ تَكْتُمُوْنَ; wal-arḍi wa a'lamu mā tubdụna wa mā kuntum taktum
2;34;1;وَاِذْ قُلْنَا لِلْمَلٰۤىِٕكَةِ اسْجُدُوْا لِاٰدَمَ فَسَجَدُوْٓا اِلَّآ;iż qulnā lil-malā`ikatisjudụ li`ādama fa sajadū illā 
2;34;2;اِبْلِيْسَۗ اَبٰى وَاسْتَكْبَرَۖ وَكَانَ مِنَ الْكٰفِرِيْنَ;iblīs, abā wastakbara wa kāna minal-kāfirīn
2;35;1;وَقُلْنَا يٰٓاٰدَمُ اسْكُنْ اَنْتَ وَزَوْجُكَ الْجَنَّةَ وَكُلَا مِنْهَا رَغَدًا حَيْثُ;wa qulnā yā ādamuskun anta wa zaujukal-jannata wa kulā min-hā ragadan ḥ
2;35;2;شِئْتُمَاۖ وَلَا تَقْرَبَا هٰذِهِ الشَّجَرَةَ فَتَكُوْنَا مِنَ الظّٰلِمِيْنَ;syi`tumā wa lā taqrabā hāżihisy-syajarata fa takụnā minaẓ-ẓālimī
2;36;1;فَاَزَلَّهُمَا الشَّيْطٰنُ عَنْهَا فَاَخْرَجَهُمَا مِمَّا كَانَا;fa azallahumasy-syaiṭānu 'an-hā fa akhrajahumā mimmā kān
2;36;2;فِيْهِ ۖ وَقُلْنَا اهْبِطُوْا بَعْضُكُمْ لِبَعْضٍ عَدُوٌّ ۚ وَلَكُمْ;fīhi wa qulnahbiṭụ ba'ḍukum liba'ḍin 'aduww, wa laku
2;36;3;فِى الْاَرْضِ مُسْتَقَرٌّ وَّمَتَاعٌ اِلٰى حِيْنٍ;fil-arḍi mustaqarruw wa matā'un ilā ḥīn
2;37;1;فَتَلَقّٰٓى اٰدَمُ مِنْ رَّبِّهٖ كَلِمٰتٍ فَتَابَ عَلَيْهِ ۗ اِنَّهٗ هُوَ التَّوَّابُ الرَّحِيْمُ;fa talaqqā ādamu mir rabbihī kalimātin fa tāba 'alaīh, innahụ huwat-tawwābur-raḥīm
2;38;1;قُلْنَا اهْبِطُوْا مِنْهَا جَمِيْعًا ۚ فَاِمَّا يَأْتِيَنَّكُمْ مِّنِّيْ;qulnahbiṭụ min-hā jamī'ā, fa immā ya`tiyannakum minn
2;38;2;هُدًى فَمَنْ تَبِعَ هُدَايَ فَلَا خَوْفٌ عَلَيْهِمْ وَلَا هُمْ يَحْزَنُوْنَ;hudan fa man tabi'a hudāya fa lā khaufun 'alaihim wa lā hum yaḥzan
2;39;1;وَالَّذِيْنَ كَفَرُوْا وَكَذَّبُوْا بِاٰيٰتِنَآ اُولٰۤىِٕكَ اَصْحٰبُ النَّارِ ۚ هُمْ فِيْهَا خٰلِدُوْنَ ࣖ;wallażīna kafarụ wa każżabụ bi`āyātinā ulā`ika aṣ-ḥābun-nār, hum fīhā khālidụn
2;40;1;يٰبَنِيْٓ اِسْرَاۤءِيْلَ اذْكُرُوْا نِعْمَتِيَ الَّتِيْٓ اَنْعَمْتُ عَلَيْكُمْ;yā banī isrā`īlażkurụ ni'matiyallatī an'amtu 'alaikum 
2;40;2;وَاَوْفُوْا بِعَهْدِيْٓ اُوْفِ بِعَهْدِكُمْۚ وَاِيَّايَ فَارْهَبُوْنِ;wa aufụ bi'ahdī ụfi bi'ahdikum, wa iyyāya far-ha
2;41;1;وَاٰمِنُوْا بِمَآ اَنْزَلْتُ مُصَدِّقًا لِّمَا مَعَكُمْ وَلَا تَكُوْنُوْٓا اَوَّلَ كَافِرٍۢ;wa āminụ bimā anzaltu muṣaddiqal limā ma'akum wa lā takụnū awwala kāfiri
2;41;2;بِهٖ ۖ وَلَا تَشْتَرُوْا بِاٰيٰتِيْ ثَمَنًا قَلِيْلًا ۖوَّاِيَّايَ فَاتَّقُوْنِ; bihī wa lā tasytarụ bi`āyātī ṡamanang qalīlaw wa iyyāya fa
2;42;1;وَلَا تَلْبِسُوا الْحَقَّ بِالْبَاطِلِ وَتَكْتُمُوا الْحَقَّ وَاَنْتُمْ تَعْلَمُوْنَ;wa lā talbisul-ḥaqqa bil-bāṭili wa taktumul-ḥaqqa wa antum ta'lamụn
2;43;1;وَاَقِيْمُوا الصَّلٰوةَ وَاٰتُوا الزَّكٰوةَ وَارْكَعُوْا مَعَ الرَّاكِعِيْنَ;wa aqīmuṣ-ṣalāta wa ātuz-zakāta warka'ụ ma'ar-rāki'īn
2;44;1;۞ اَتَأْمُرُوْنَ النَّاسَ بِالْبِرِّ وَتَنْسَوْنَ اَنْفُسَكُمْ; ta`murụnan-nāsa bil-birri wa tansauna anfusaku
2;44;2;وَاَنْتُمْ تَتْلُوْنَ الْكِتٰبَ ۗ اَفَلَا تَعْقِلُوْنَ;wa antum tatlụnal-kitāb, a fa lā ta'qil
2;45;1;وَاسْتَعِيْنُوْا بِالصَّبْرِ وَالصَّلٰوةِ ۗ وَاِنَّهَا لَكَبِيْرَةٌ اِلَّا عَلَى الْخٰشِعِيْنَۙ;wasta'īnụ biṣ-ṣabri waṣ-ṣalāh, wa innahā lakabīratun illā 'alal-khāsyi'īn
2;46;1;الَّذِيْنَ يَظُنُّوْنَ اَنَّهُمْ مُّلٰقُوْا رَبِّهِمْ وَاَنَّهُمْ اِلَيْهِ رٰجِعُوْنَ ࣖ;allażīna yaẓunnụna annahum mulāqụ rabbihim wa annahum ilaihi rāji'ụn
2;47;1;يٰبَنِيْٓ اِسْرَاۤءِيْلَ اذْكُرُوْا نِعْمَتِيَ الَّتِيْٓ اَنْعَمْتُ;yā banī isrā`īlażkurụ ni'matiyallatī an'amtu 
2;47;2;عَلَيْكُمْ وَاَنِّيْ فَضَّلْتُكُمْ عَلَى الْعٰلَمِيْنَ;'alaikum wa annī faḍḍaltukum 'alal-'ālamīn
2;48;1;وَاتَّقُوْا يَوْمًا لَّا تَجْزِيْ نَفْسٌ عَنْ نَّفْسٍ شَيْـًٔا وَّلَا يُقْبَلُ;wattaqụ yaumal lā tajzī nafsun 'an nafsin syai`aw wa lā yuqbal
2;48;2;مِنْهَا شَفَاعَةٌ وَّلَا يُؤْخَذُ مِنْهَا عَدْلٌ وَّلَا هُمْ يُنْصَرُوْنَ;min-hā syafā'atuw wa lā yu`khażu min-hā 'adluw wa lā hum yunṣa
2;49;1;وَاِذْ نَجَّيْنٰكُمْ مِّنْ اٰلِ فِرْعَوْنَ يَسُوْمُوْنَكُمْ سُوْۤءَ;wa iż najjainākum min āli fir'auna yasụmụnakum sū`a
2;49;2;الْعَذَابِ يُذَبِّحُوْنَ اَبْنَاۤءَكُمْ وَيَسْتَحْيُوْنَ نِسَاۤءَكُمْ;al-'ażābi yużabbiḥụna abnā`akum wa yastaḥyụna nisā`akum
2;49;3;ۗ وَفِيْ ذٰلِكُمْ بَلَاۤءٌ مِّنْ رَّبِّكُمْ عَظِيْمٌ;m, wa fī żālikum balā`um mir rabbikum 'aẓīm
2;50;1;وَاِذْ فَرَقْنَا بِكُمُ الْبَحْرَ فَاَنْجَيْنٰكُمْ وَاَغْرَقْنَآ اٰلَ فِرْعَوْنَ وَاَنْتُمْ تَنْظُرُوْنَ;wa iż faraqnā bikumul-baḥra fa anjainākum wa agraqnā āla fir'auna wa antum tanẓurụn
2;51;1;وَاِذْ وٰعَدْنَا مُوْسٰىٓ اَرْبَعِيْنَ لَيْلَةً ثُمَّ اتَّخَذْتُمُ;wa iż wā'adnā mụsā arba'īna lailatan ṡummattakhażtumu
2;51;2;الْعِجْلَ مِنْۢ بَعْدِهٖ وَاَنْتُمْ ظٰلِمُوْنَ;l-'ijla mim ba'dihī wa antum ẓālimụn
2;52;1;ثُمَّ عَفَوْنَا عَنْكُمْ مِّنْۢ بَعْدِ ذٰلِكَ لَعَلَّكُمْ تَشْكُرُوْنَ;ṡumma 'afaunā 'angkum mim ba'di żālika la'allakum tasykurụn
2;53;1;وَاِذْ اٰتَيْنَا مُوْسَى الْكِتٰبَ وَالْفُرْقَانَ لَعَلَّكُمْ تَهْتَدُوْنَ;wa iż ātainā mụsal-kitāba wal-furqāna la'allakum tahtadụn
2;54;1;وَاِذْ قَالَ مُوْسٰى لِقَوْمِهٖ يٰقَوْمِ اِنَّكُمْ ظَلَمْتُمْ اَنْفُسَكُمْ;iż qāla mụsā liqaumihī yā qaumi innakum ẓalamtum anfusakum
2;54;2;بِاتِّخَاذِكُمُ الْعِجْلَ فَتُوْبُوْٓا اِلٰى بَارِىِٕكُمْ فَاقْتُلُوْٓا;bittikhāżikumul-'ijla fa tụbū ilā bāri`ikum faqtul
2;54;3;اَنْفُسَكُمْۗ ذٰلِكُمْ خَيْرٌ لَّكُمْ عِنْدَ بَارِىِٕكُمْۗ فَتَابَ;anfusakum, żālikum khairul lakum 'inda bāri`ikum, fa t
2;54;4;عَلَيْكُمْ ۗ اِنَّهٗ هُوَ التَّوَّابُ الرَّحِيْمُ;'alaikum, innahụ huwat-tawwābur-raḥī
2;55;1;وَاِذْ قُلْتُمْ يٰمُوْسٰى لَنْ نُّؤْمِنَ لَكَ حَتّٰى نَرَى اللّٰهَ; iż qultum yā mụsā lan nu`mina laka ḥattā narallāha
2;55;2;جَهْرَةً فَاَخَذَتْكُمُ الصّٰعِقَةُ وَاَنْتُمْ تَنْظُرُوْنَ; jahratan fa akhażatkumuṣ-ṣā'iqatu wa antum tanẓurụn
2;56;1;ثُمَّ بَعَثْنٰكُمْ مِّنْۢ بَعْدِ مَوْتِكُمْ لَعَلَّكُمْ تَشْكُرُوْنَ;ṡumma ba'aṡnākum mim ba'di mautikum la'allakum tasykurụn
2;57;1;وَظَلَّلْنَا عَلَيْكُمُ الْغَمَامَ وَاَنْزَلْنَا عَلَيْكُمُ الْمَنَّ;ẓallalnā 'alaikumul-gamāma wa anzalnā 'alaikumul-manna
2;57;2;وَالسَّلْوٰى ۗ كُلُوْا مِنْ طَيِّبٰتِ مَا رَزَقْنٰكُمْ ۗ وَمَا ظَلَمُوْنَا;salwā, kulụ min ṭayyibāti mā razaqnākum, wa mā ẓalamụnā
2;57;3;وَلٰكِنْ كَانُوْٓا اَنْفُسَهُمْ يَظْلِمُوْنَ; wa lāking kānū anfusahum yaẓlim
2;58;1;وَاِذْ قُلْنَا ادْخُلُوْا هٰذِهِ الْقَرْيَةَ فَكُلُوْا مِنْهَا حَيْثُ;iż qulnadkhulụ hāżihil-qaryata fa kulụ min-hā ḥaiṡu
2;58;2;شِئْتُمْ رَغَدًا وَّادْخُلُوا الْبَابَ سُجَّدًا وَّقُوْلُوْا حِطَّةٌ;syi`tum ragadaw wadkhulul-bāba sujjadaw wa qụlụ ḥiṭṭat
2;58;3;نَّغْفِرْ لَكُمْ خَطٰيٰكُمْ ۗ وَسَنَزِيْدُ الْمُحْسِنِيْنَ;nagfir lakum khaṭāyākum, wa sanazīdul-muḥsin
2;59;1;فَبَدَّلَ الَّذِيْنَ ظَلَمُوْا قَوْلًا غَيْرَ الَّذِيْ قِيْلَ لَهُمْ فَاَنْزَلْنَا;fa baddalallażīna ẓalamụ qaulan gairallażī qīla lahum fa anzaln
2;59;2;عَلَى الَّذِيْنَ ظَلَمُوْا رِجْزًا مِّنَ السَّمَاۤءِ بِمَا كَانُوْا يَفْسُقُوْنَ ࣖ;nā 'alallażīna ẓalamụ rijzam minas-samā`i bimā kānụ yafsuqụn
2;60;1;۞ وَاِذِ اسْتَسْقٰى مُوْسٰى لِقَوْمِهٖ فَقُلْنَا اضْرِبْ بِّعَصَاكَ الْحَجَرَۗ فَانْفَجَرَتْ;a iżistasqā mụsā liqaumihī fa qulnaḍrib bi'aṣākal-ḥajar, fanfajarat
