sura;aya;kemenag;transliteration_id;transcript
2;12;اَلَآ اِنَّهُمْ هُمُ الْمُفْسِدُوْنَ وَلٰكِنْ لَّا يَشْعُرُوْنَ;alā innahum humul-mufsidụna wa lākil lā yasy'urụn;a lā in na hum hu mul muf si dụ na wa lā kil lā yasy 'u rụn
2;15; اَللّٰهُ يَسْتَهْزِئُ بِهِمْ وَيَمُدُّهُمْ فِيْ طُغْيَانِهِمْ يَعْمَهُوْنَ ;allāhu yastahzi`u bihim wa yamudduhum fī ṭugyānihim ya'mahụn;all llā hu yas tah zi `u bi him wa ya mud du hum fī ṭug yā ni him ya' ma hụn
2;18;صُمٌّ ۢ بُكْمٌ عُمْيٌ فَهُمْ لَا يَرْجِعُوْنَۙ;ṣummum bukmun 'umyun fa hum lā yarji'ụn;ṣum mum buk mun 'um yun fa hum lā yar ji 'ụn
2;37;فَتَلَقّٰٓى اٰدَمُ مِنْ رَّبِّهٖ كَلِمٰتٍ فَتَابَ عَلَيْهِ ۗ اِنَّهٗ هُوَ التَّوَّابُ الرَّحِيْمُ ;"fa talaqqā ādamu mir rabbihī kalimātin fa tāba 'alaīh, innahụ huwat-tawwābur-raḥīm";"fa ta laq qā ā da mu mir rab bi hī ka li mā tin fa tā ba 'a laīh , in na hụ hu wat taw wā bur ra ḥīm"
2;42;وَلَا تَلْبِسُوا الْحَقَّ بِالْبَاطِلِ وَتَكْتُمُوا الْحَقَّ وَاَنْتُمْ تَعْلَمُوْنَ ;wa lā talbisul-ḥaqqa bil-bāṭili wa taktumul-ḥaqqa wa antum ta'lamụn;wa lā tal bi sul ḥaq qa bil bā ṭi li wa tak tu mul ḥaq qa wa an tum ta' la mụn
2;43;وَاَقِيْمُوا الصَّلٰوةَ وَاٰتُوا الزَّكٰوةَ وَارْكَعُوْا مَعَ الرَّاكِعِيْنَ;wa aqīmuṣ-ṣalāta wa ātuz-zakāta warka'ụ ma'ar-rāki'īn;wa a qī muṣ ṣa lā ta wa ā tuz za kā ta war ka 'ụ ma 'ar rā ki 'īn
2;45;وَاسْتَعِيْنُوْا بِالصَّبْرِ وَالصَّلٰوةِ ۗ وَاِنَّهَا لَكَبِيْرَةٌ اِلَّا عَلَى الْخٰشِعِيْنَۙ;"wasta'īnụ biṣ-ṣabri waṣ-ṣalāh, wa innahā lakabīratun illā 'alal-khāsyi'īn";"was ta 'ī nụ biṣ ṣab ri waṣ ṣa lāh , wa in na hā la ka bī ra tun il lā 'a lal khā syi 'īn"
2;46;الَّذِيْنَ يَظُنُّوْنَ اَنَّهُمْ مُّلٰقُوْا رَبِّهِمْ وَاَنَّهُمْ اِلَيْهِ رٰجِعُوْنَ ࣖ;allażīna yaẓunnụna annahum mulāqụ rabbihim wa annahum ilaihi rāji'ụn;al la żī na ya ẓun nụ na an na hum mu lā qụ rab bi him wa an na hum i lai hi rā ji 'ụn
2;52;ثُمَّ عَفَوْنَا عَنْكُمْ مِّنْۢ بَعْدِ ذٰلِكَ لَعَلَّكُمْ تَشْكُرُوْنَ;ṡumma 'afaunā 'angkum mim ba'di żālika la'allakum tasykurụn;ṡum ma 'a fau nā 'ang kum mim ba' di żā li ka la 'al la kum tasy ku rụn
2;53;وَاِذْ اٰتَيْنَا مُوْسَى الْكِتٰبَ وَالْفُرْقَانَ لَعَلَّكُمْ تَهْتَدُوْنَ;wa iż ātainā mụsal-kitāba wal-furqāna la'allakum tahtadụn;wa iż ā tai nā mụ sal ki tā ba wal fur qā na la 'al la kum tah ta dụn
2;56;ثُمَّ بَعَثْنٰكُمْ مِّنْۢ بَعْدِ مَوْتِكُمْ لَعَلَّكُمْ تَشْكُرُوْنَ;ṡumma ba'aṡnākum mim ba'di mautikum la'allakum tasykurụn;ṡum ma ba 'aṡ nā kum mim ba' di mau ti kum la 'al la kum tasy ku rụn
2;66;  فَجَعَلْنٰهَا نَكَالًا لِّمَا بَيْنَ يَدَيْهَا وَمَا خَلْفَهَا وَمَوْعِظَةً لِّلْمُتَّقِيْنَ;fa ja'alnāhā nakālal limā baina yadaihā wa mā khalfahā wa mau'iẓatal lil-muttaqīn;fa ja 'al nā hā na kā lal li mā bai na ya dai hā wa mā khal fa hā wa mau 'i ẓa tal lil mut ta qīn
2;72;وَاِذْ قَتَلْتُمْ نَفْسًا فَادّٰرَءْتُمْ فِيْهَا ۗ وَاللّٰهُ مُخْرِجٌ مَّا كُنْتُمْ تَكْتُمُوْنَ ۚ;"wa iż qataltum nafsan faddāra'tum fīhā, wallāhu mukhrijum mā kuntum taktumụn";"wa iż qa tal tum naf san fad dā ra' tum fī hā , wall llā hu mukh ri jum mā kun tum tak tu mụn"
2;77;اَوَلَا يَعْلَمُوْنَ اَنَّ اللّٰهَ يَعْلَمُ مَا يُسِرُّوْنَ وَمَا يُعْلِنُوْنَ;a wa lā ya'lamụna annallāha ya'lamu mā yusirrụna wa mā yu'linụn;a wa lā ya' la mụ na an nall llā ha ya' la mu mā yu sir rụ na wa mā yu' li nụn
2;88;وَقَالُوْا قُلُوْبُنَا غُلْفٌ ۗ بَلْ لَّعَنَهُمُ اللّٰهُ بِكُفْرِهِمْ فَقَلِيْلًا مَّا يُؤْمِنُوْنَ ;"wa qālụ qulụbunā gulf, bal la'anahumullāhu bikufrihim fa qalīlam mā yu`minụn";"wa qā lụ qu lụ bu nā gulf , bal la 'a na hu mull llā hu bi kuf ri him fa qa lī lam mā yu` mi nụn"
2;95;وَلَنْ يَّتَمَنَّوْهُ اَبَدًاۢ بِمَا قَدَّمَتْ اَيْدِيْهِمْ ۗ وَاللّٰهُ عَلِيْمٌ ۢ بِالظّٰلِمِيْنَ ;"wa lay yatamannauhu abadam bimā qaddamat aidīhim, wallāhu 'alīmum biẓ-ẓālimīn";"wa lay ya ta man nau hu a ba dam bi mā qad da mat ai dī him , wall llā hu 'a lī mum biẓ ẓā li mīn"
2;99;وَلَقَدْ اَنْزَلْنَآ اِلَيْكَ اٰيٰتٍۢ بَيِّنٰتٍۚ وَمَا يَكْفُرُ بِهَآ اِلَّا الْفٰسِقُوْنَ;"wa laqad anzalnā ilaika āyātim bayyināt, wa mā yakfuru bihā illal-fāsiqụn";"wa la qad an zal nā i lai ka ā yā tim bay yi nāt , wa mā yak fu ru bi hā il lal fā si qụn"
2;100;اَوَكُلَّمَا عٰهَدُوْا عَهْدًا نَّبَذَهٗ فَرِيْقٌ مِّنْهُمْ ۗ بَلْ اَكْثَرُهُمْ لَا يُؤْمِنُوْنَ;"a wa kullamā 'āhadụ 'ahdan nabażahụ farīqum min-hum, bal akṡaruhum lā yu`minụn";"a wa kul la mā 'ā ha dụ 'ah dan na ba ża hụ fa rī qum min hum , bal ak ṡa ru hum lā yu` mi nụn"
2;117;بَدِيْعُ السَّمٰوٰتِ وَالْاَرْضِۗ وَاِذَا قَضٰٓى اَمْرًا فَاِنَّمَا يَقُوْلُ لَهٗ كُنْ فَيَكُوْنُ;"badī'us-samāwāti wal-arḍ, wa iżā qaḍā amran fa innamā yaqụlu lahụ kun fa yakụn";"ba dī 'us sa mā wā ti wal arḍ , wa i żā qa ḍā am ran fa in na mā ya qụ lu la hụ kun fa ya kụn"
2;119;اِنَّآ اَرْسَلْنٰكَ بِالْحَقِّ بَشِيْرًا وَّنَذِيْرًاۙ وَّلَا تُسْـَٔلُ عَنْ اَصْحٰبِ الْجَحِيْمِ;innā arsalnāka bil-ḥaqqi basyīraw wa nażīraw wa lā tus`alu 'an aṣ-ḥābil-jaḥīm;in nā ar sal nā ka bil ḥaq qi ba syī raw wa na żī raw wa lā tus `a lu 'an aṣ ḥā bil ja ḥīm
2;131;اِذْ قَالَ لَهٗ رَبُّهٗٓ اَسْلِمْۙ  قَالَ اَسْلَمْتُ لِرَبِّ الْعٰلَمِيْنَ;iż qāla lahụ rabbuhū aslim qāla aslamtu lirabbil-'ālamīn;iż qā la la hụ rab bu hū as lim qā la as lam tu li rab bil 'ā la mīn
2;138;صِبْغَةَ اللّٰهِ ۚ وَمَنْ اَحْسَنُ مِنَ اللّٰهِ صِبْغَةً ۖ وَّنَحْنُ لَهٗ عٰبِدُوْنَ ;"ṣibgatallāh, wa man aḥsanu minallāhi ṣibgataw wa naḥnu lahụ 'ābidụn";"ṣib ga tall llāh , wa man aḥ sa nu mi nall llā hi ṣib ga taw wa naḥ nu la hụ 'ā bi dụn"
2;147;اَلْحَقُّ مِنْ رَّبِّكَ فَلَا تَكُوْنَنَّ مِنَ الْمُمْتَرِيْنَ ࣖ;al-ḥaqqu mir rabbika fa lā takụnanna minal-mumtarīn;al ḥaq qu mir rab bi ka fa lā ta kụ nan na mi nal mum ta rīn
2;152;فَاذْكُرُوْنِيْٓ اَذْكُرْكُمْ وَاشْكُرُوْا لِيْ وَلَا تَكْفُرُوْنِ ࣖ ;fażkurụnī ażkurkum wasykurụ lī wa lā takfurụn;faż ku rụ nī aż kur kum wasy ku rụ lī wa lā tak fu rụn
2;157;اُولٰۤىِٕكَ عَلَيْهِمْ صَلَوٰتٌ مِّنْ رَّبِّهِمْ وَرَحْمَةٌ  ۗوَاُولٰۤىِٕكَ هُمُ الْمُهْتَدُوْنَ;"ulā`ika 'alaihim ṣalawātum mir rabbihim wa raḥmah, wa ulā`ika humul-muhtadụn";"u lā `i ka 'a lai him ṣa la wā tum mir rab bi him wa raḥ mah , wa u lā `i ka hu mul muh ta dụn"
2;162;خٰلِدِيْنَ فِيْهَا ۚ لَا يُخَفَّفُ عَنْهُمُ الْعَذَابُ وَلَا هُمْ يُنْظَرُوْنَ;"khālidīna fīhā, lā yukhaffafu 'an-humul-'ażābu wa lā hum yunẓarụn";"khā li dī na fī hā , lā yu khaf fa fu 'an hu mul 'a żā bu wa lā hum yun ẓa rụn"
2;163;وَاِلٰهُكُمْ اِلٰهٌ وَّاحِدٌۚ  لَآاِلٰهَ اِلَّا هُوَ الرَّحْمٰنُ الرَّحِيْمُ ࣖ;"wa ilāhukum ilāhuw wāḥid, lā ilāha illā huwar-raḥmānur-raḥīm";"wa i lā hu kum i lā huw wā ḥid , lā i lā ha il lā hu war raḥ mā nur ra ḥīm"
2;179;وَلَكُمْ فِى الْقِصَاصِ حَيٰوةٌ يّٰٓاُولِى الْاَلْبَابِ لَعَلَّكُمْ تَتَّقُوْنَ ;wa lakum fil-qiṣāṣi ḥayātuy yā ulil-albābi la'allakum tattaqụn;wa la kum fil qi ṣā ṣi ḥa yā tuy yā u lil al bā bi la 'al la kum tat ta qụn
2;192;فَاِنِ انْتَهَوْا فَاِنَّ اللّٰهَ غَفُوْرٌ رَّحِيْمٌ ;fa inintahau fa innallāha gafụrur raḥīm;fa i nin ta hau fa in nall llā ha ga fụ rur ra ḥīm
2;202;اُولٰۤىِٕكَ لَهُمْ نَصِيْبٌ مِّمَّا كَسَبُوْا ۗ وَاللّٰهُ سَرِيْعُ الْحِسَابِ ;"ulā`ika lahum naṣībum mimmā kasabụ, wallāhu sarī'ul-ḥisāb";"u lā `i ka la hum na ṣī bum mim mā ka sa bụ , wall llā hu sa rī 'ul ḥi sāb"
2;227;وَاِنْ عَزَمُوا الطَّلَاقَ فَاِنَّ اللّٰهَ سَمِيْعٌ عَلِيْمٌ ;wa in 'azamuṭ-ṭalāqa fa innallāha samī'un 'alīm;wa in 'a za muṭ ṭa lā qa fa in nall llā ha sa mī 'un 'a līm
2;238;حَافِظُوْا عَلَى الصَّلَوٰتِ وَالصَّلٰوةِ الْوُسْطٰى وَقُوْمُوْا لِلّٰهِ قٰنِتِيْنَ ;ḥāfiẓụ 'alaṣ-ṣalawāti waṣ-ṣalātil-wusṭā wa qụmụ lillāhi qānitīn;ḥā fi ẓụ 'a laṣ ṣa la wā ti waṣ ṣa lā til wus ṭā wa qụ mụ lil lā hi qā ni tīn
2;241;وَلِلْمُطَلَّقٰتِ مَتَاعٌ ۢبِالْمَعْرُوْفِۗ حَقًّا عَلَى الْمُتَّقِيْنَ ;"wa lil-muṭallaqāti matā'um bil-ma'rụf, ḥaqqan 'alal-muttaqīn";"wa lil mu ṭal la qā ti ma tā 'um bil ma' rụf , ḥaq qan 'a lal mut ta qīn"
2;242;كَذٰلِكَ يُبَيِّنُ اللّٰهُ لَكُمْ اٰيٰتِهٖ لَعَلَّكُمْ تَعْقِلُوْنَ ࣖ;każālika yubayyinullāhu lakum āyātihī la'allakum ta'qilụn;ka żā li ka yu bay yi null llā hu la kum ā yā ti hī la 'al la kum ta' qi lụn
2;244;وَقَاتِلُوْا فِيْ سَبِيْلِ اللّٰهِ وَاعْلَمُوْٓا اَنَّ اللّٰهَ  سَمِيْعٌ عَلِيْمٌ ;wa qātilụ fī sabīlillāhi wa'lamū annallāha samī'un 'alīm;wa qā ti lụ fī sa bī lil lā hi wa' la mū an nall llā ha sa mī 'un 'a līm
2;252;تِلْكَ اٰيٰتُ اللّٰهِ نَتْلُوْهَا عَلَيْكَ بِالْحَقِّ ۗ وَاِنَّكَ لَمِنَ الْمُرْسَلِيْنَ  ۔;"tilka āyātullāhi natlụhā 'alaika bil-ḥaqq, wa innaka laminal-mursalīn";"til ka ā yā tull llā hi nat lụ hā 'a lai ka bil ḥaqq , wa in na ka la mi nal mur sa līn"
2;276;يَمْحَقُ اللّٰهُ الرِّبٰوا وَيُرْبِى الصَّدَقٰتِ ۗ وَاللّٰهُ لَا يُحِبُّ كُلَّ كَفَّارٍ اَثِيْمٍ;"yam-ḥaqullāhur-ribā wa yurbiṣ-ṣadaqāt, wallāhu lā yuḥibbu kulla kaffārin aṡīm";"yam ḥa qull llā hur ri bā wa yur biṣ ṣa da qāt , wall llā hu lā yu ḥib bu kul la kaf fā rin a ṡīm"
3;1;الۤمّۤ ;alif lām mīm;a lif lām mīm
3;2;اَللّٰهُ لَآ اِلٰهَ اِلَّا هُوَ الْحَيُّ الْقَيُّوْمُۗ;allāhu lā ilāha illā huwal-ḥayyul-qayyụm;all llā hu lā i lā ha il lā hu wal ḥay yul qay yụm
3;5;اِنَّ اللّٰهَ لَا يَخْفٰى عَلَيْهِ شَيْءٌ فِى الْاَرْضِ وَلَا فِى السَّمَاۤءِ;innallāha lā yakhfā 'alaihi syai`un fil-arḍi wa lā fis-samā`;in nall llā ha lā yakh fā 'a lai hi syai `un fil ar ḍi wa lā fis sa mā`
3;12;قُلْ لِّلَّذِيْنَ كَفَرُوْا سَتُغْلَبُوْنَ وَتُحْشَرُوْنَ اِلٰى جَهَنَّمَ ۗ وَبِئْسَ الْمِهَادُ;"qul lillażīna kafarụ satuglabụna wa tuḥsyarụna ilā jahannam, wa bi`sal-mihād";"qul lil la żī na ka fa rụ sa tug la bụ na wa tuḥ sya rụ na i lā ja han nam , wa bi` sal mi hād"
3;32;قُلْ اَطِيْعُوا اللّٰهَ وَالرَّسُوْلَ ۚ فَاِنْ تَوَلَّوْا فَاِنَّ اللّٰهَ لَا يُحِبُّ الْكٰفِرِيْنَ;"qul aṭī'ullāha war-rasụl, fa in tawallau fa innallāha lā yuḥibbul-kāfirīn";"qul a ṭī 'ull llā ha war ra sụl , fa in ta wal lau fa in nall llā ha lā yu ḥib bul kā fi rīn"
3;34;ذُرِّيَّةً ۢ بَعْضُهَا مِنْۢ بَعْضٍۗ وَاللّٰهُ سَمِيْعٌ عَلِيْمٌۚ;"żurriyyatam ba'ḍuhā mim ba'ḍ, wallāhu samī'un 'alīm";"żur riy ya tam ba' ḍu hā mim ba'ḍ , wall llā hu sa mī 'un 'a līm"
3;43;يٰمَرْيَمُ اقْنُتِيْ لِرَبِّكِ وَاسْجُدِيْ وَارْكَعِيْ مَعَ الرَّاكِعِيْنَ;yā maryamuqnutī lirabbiki wasjudī warka'ī ma'ar-rāki'īn;yā mar ya muq nu tī li rab bi ki was ju dī war ka 'ī ma 'ar rā ki 'īn
3;46;وَيُكَلِّمُ النَّاسَ فِى الْمَهْدِ وَكَهْلًا وَّمِنَ الصّٰلِحِيْنَ;wa yukallimun-nāsa fil-mahdi wa kahlaw wa minaṣ-ṣāliḥīn;wa yu kal li mun nā sa fil mah di wa kah law wa mi naṣ ṣā li ḥīn
3;48;وَيُعَلِّمُهُ الْكِتٰبَ وَالْحِكْمَةَ وَالتَّوْرٰىةَ وَالْاِنْجِيْلَۚ;wa yu'allimuhul-kitāba wal-ḥikmata wat-taurāta wal-injīl;wa yu 'al li mu hul ki tā ba wal ḥik ma ta wat tau rā ta wal in jīl
3;51;اِنَّ اللّٰهَ رَبِّيْ وَرَبُّكُمْ فَاعْبُدُوْهُ ۗهٰذَا صِرَاطٌ مُّسْتَقِيْمٌ;"innallāha rabbī wa rabbukum fa'budụh, hāżā ṣirāṭum mustaqīm";"in nall llā ha rab bī wa rab bu kum fa' bu dụh , hā żā ṣi rā ṭum mus ta qīm"
3;53;رَبَّنَآ اٰمَنَّا بِمَآ اَنْزَلْتَ وَاتَّبَعْنَا الرَّسُوْلَ فَاكْتُبْنَا مَعَ الشّٰهِدِيْنَ;rabbanā āmannā bimā anzalta wattaba'nar-rasụla faktubnā ma'asy-syāhidīn;rab ba nā ā man nā bi mā an zal ta wat ta ba' nar ra sụ la fak tub nā ma 'asy syā hi dīn
3;54;وَمَكَرُوْا وَمَكَرَ اللّٰهُ  ۗوَاللّٰهُ خَيْرُ الْمَاكِرِيْنَ ࣖ;"wa makarụ wa makarallāh, wallāhu khairul-mākirīn";"wa ma ka rụ wa ma ka rall llāh , wall llā hu khai rul mā ki rīn"
3;58;ذٰلِكَ نَتْلُوْهُ عَلَيْكَ مِنَ الْاٰيٰتِ وَالذِّكْرِ الْحَكِيْمِ ;żālika natlụhu 'alaika minal-āyāti waż-żikril-ḥakīm;żā li ka nat lụ hu 'a lai ka mi nal ā yā ti waż żik ril ḥa kīm
3;60;اَلْحَقُّ مِنْ رَّبِّكَ فَلَا تَكُنْ مِّنَ الْمُمْتَرِيْنَ;al-ḥaqqu mir rabbika fa lā takum minal-mumtarīn;al ḥaq qu mir rab bi ka fa lā ta kum mi nal mum ta rīn
3;63;فَاِنْ تَوَلَّوْا فَاِنَّ اللّٰهَ عَلِيْمٌ ۢبِالْمُفْسِدِيْنَ ࣖ ;fa in tawallau fa innallāha 'alīmum bil-mufsidīn;fa in ta wal lau fa in nall llā ha 'a lī mum bil muf si dīn
3;70;يٰٓاَهْلَ الْكِتٰبِ لِمَ تَكْفُرُوْنَ بِاٰيٰتِ اللّٰهِ وَاَنْتُمْ تَشْهَدُوْنَ;yā ahlal-kitābi lima takfurụna bi`āyātillāhi wa antum tasy-hadụn;yā ah lal ki tā bi li ma tak fu rụ na bi `ā yā til lā hi wa an tum tasy ha dụn
3;74;يَخْتَصُّ بِرَحْمَتِهٖ مَنْ يَّشَاۤءُ  ۗوَاللّٰهُ ذُو الْفَضْلِ الْعَظِيْمِ;"yakhtaṣṣu biraḥmatihī may yasyā`, wallāhu żul-faḍlil-'aẓīm";"yakh taṣ ṣu bi raḥ ma ti hī may ya syā` , wall llā hu żul faḍ lil 'a ẓīm"
3;76;بَلٰى مَنْ اَوْفٰى بِعَهْدِهٖ وَاتَّقٰى فَاِنَّ اللّٰهَ يُحِبُّ الْمُتَّقِيْنَ;balā man aufā bi'ahdihī wattaqā fa innallāha yuḥibbul-muttaqīn;ba lā man au fā bi 'ah di hī wat ta qā fa in nall llā ha yu ḥib bul mut ta qīn
3;82;فَمَنْ تَوَلّٰى بَعْدَ ذٰلِكَ فَاُولٰۤىِٕكَ هُمُ الْفٰسِقُوْنَ;fa man tawallā ba'da żālika fa ulā`ika humul-fāsiqụn;fa man ta wal lā ba' da żā li ka fa u lā `i ka hu mul fā si qụn
3;88;خٰلِدِيْنَ فِيْهَا ۚ لَا يُخَفَّفُ عَنْهُمُ الْعَذَابُ وَلَا هُمْ يُنْظَرُوْنَۙ;"khālidīna fīhā, lā yukhaffafu 'an-humul-'ażābu wa lā hum yunẓarụn";"khā li dī na fī hā , lā yu khaf fa fu 'an hu mul 'a żā bu wa lā hum yun ẓa rụn"
3;89;اِلَّا الَّذِيْنَ تَابُوْا مِنْۢ بَعْدِ ذٰلِكَ وَاَصْلَحُوْاۗ فَاِنَّ اللّٰهَ غَفُوْرٌ رَّحِيْمٌ;"illallażīna tābụ mim ba'di żālika wa aṣlaḥụ, fa innallāha gafụrur raḥīm";"il lal la żī na tā bụ mim ba' di żā li ka wa aṣ la ḥụ , fa in nall llā ha ga fụ rur ra ḥīm"
3;94;فَمَنِ افْتَرٰى عَلَى اللّٰهِ الْكَذِبَ مِنْۢ بَعْدِ ذٰلِكَ فَاُولٰۤىِٕكَ هُمُ الظّٰلِمُوْنَ;fa maniftarā 'alallāhil-każiba mim ba'di żālika fa ulā`ika humuẓ-ẓālimụn;fa ma nif ta rā 'a lall llā hil ka żi ba mim ba' di żā li ka fa u lā `i ka hu muẓ ẓā li mụn
3;95;قُلْ صَدَقَ اللّٰهُ ۗ فَاتَّبِعُوْا مِلَّةَ اِبْرٰهِيْمَ حَنِيْفًاۗ وَمَا كَانَ مِنَ الْمُشْرِكِيْنَ;"qul ṣadaqallāh, fattabi'ụ millata ibrāhīma ḥanīfā, wa mā kāna minal-musyrikīn";"qul ṣa da qall llāh , fat ta bi 'ụ mil la ta ib rā hī ma ḥa nī fā , wa mā kā na mi nal musy ri kīn"
3;96;اِنَّ اَوَّلَ بَيْتٍ وُّضِعَ لِلنَّاسِ لَلَّذِيْ بِبَكَّةَ مُبٰرَكًا وَّهُدًى لِّلْعٰلَمِيْنَۚ;inna awwala baitiw wuḍi'a lin-nāsi lallażī bibakkata mubārakaw wa hudal lil-'ālamīn;in na aw wa la bai tiw wu ḍi 'a lin nā si lal la żī bi bak ka ta mu bā ra kaw wa hu dal lil 'ā la mīn
3;107;وَاَمَّا الَّذِيْنَ ابْيَضَّتْ وُجُوْهُهُمْ فَفِيْ رَحْمَةِ اللّٰهِ ۗ هُمْ فِيْهَا خٰلِدُوْنَ;"wa ammallażīnabyaḍḍat wujụhuhum fa fī raḥmatillāh, hum fīhā khālidụn";"wa am mal la żī nab yaḍ ḍat wu jụ hu hum fa fī raḥ ma til lāh , hum fī hā khā li dụn"
3;109;وَلِلّٰهِ مَا فِى السَّمٰوٰتِ وَمَا فِى الْاَرْضِ ۗوَاِلَى اللّٰهِ تُرْجَعُ الْاُمُوْرُ ࣖ;"wa lillāhi mā fis-samāwāti wa mā fil-arḍ, wa ilallāhi turja'ul-umụr";"wa lil lā hi mā fis sa mā wā ti wa mā fil arḍ , wa i lall llā hi tur ja 'ul u mụr"
3;115;وَمَا يَفْعَلُوْا مِنْ خَيْرٍ فَلَنْ يُّكْفَرُوْهُ ۗ وَاللّٰهُ عَلِيْمٌ ۢبِالْمُتَّقِيْنَ;"wa mā yaf'alụ min khairin fa lay yukfarụh, wallāhu 'alīmum bil-muttaqīn";"wa mā yaf 'a lụ min khai rin fa lay yuk fa rụh , wall llā hu 'a lī mum bil mut ta qīn"
3;127;لِيَقْطَعَ طَرَفًا مِّنَ الَّذِيْنَ كَفَرُوْٓا اَوْ يَكْبِتَهُمْ فَيَنْقَلِبُوْا خَاۤىِٕبِيْنَ;liyaqṭa'a ṭarafam minallażīna kafarū au yakbitahum fa yangqalibụ khā`ibīn;li yaq ṭa 'a ṭa ra fam mi nal la żī na ka fa rū au yak bi ta hum fa yang qa li bụ khā `i bīn
3;131;وَاتَّقُوا النَّارَ الَّتِيْٓ اُعِدَّتْ لِلْكٰفِرِيْنَ ۚ ;wattaqun-nārallatī u'iddat lil-kāfirīn;wat ta qun nā ral la tī u 'id dat lil kā fi rīn
3;132;وَاَطِيْعُوا اللّٰهَ وَالرَّسُوْلَ لَعَلَّكُمْ تُرْحَمُوْنَۚ ;wa aṭī'ullāha war-rasụla la'allakum tur-ḥamụn;wa a ṭī 'ull llā ha war ra sụ la la 'al la kum tur ḥa mụn
3;138;هٰذَا بَيَانٌ لِّلنَّاسِ وَهُدًى وَّمَوْعِظَةٌ لِّلْمُتَّقِيْنَ ;hāżā bayānul lin-nāsi wa hudaw wa mau'iẓatul lil-muttaqīn;hā żā ba yā nul lin nā si wa hu daw wa mau 'i ẓa tul lil mut ta qīn
