Sura;Aya;Bagian;Arabic;Transliteration;Transcript
2;15;1;اَللّٰهُ يَسْتَهْزِئُ بِهِمْ وَيَمُدُّهُمْ فِيْ طُغْيَانِهِمْ يَعْمَهُوْنَ;allāhu yastahzi`u bihim wa yamudduhum fī ṭugyānihim ya'mahụn;l llā hu yas tah zi `u bi him wa ya mud du hum fī ṭug yā ni him ya' ma hụn
2;16;1;اُولٰۤىِٕكَ الَّذِيْنَ اشْتَرَوُا الضَّلٰلَةَ بِالْهُدٰىۖ;ulā`ikallażīnasytarawuḍ-ḍalālata bil-hudā ;u lā `i kal la żī nasy ta ra wuḍ ḍa lā la ta bil hu dā
2;16;2;فَمَا رَبِحَتْ تِّجَارَتُهُمْ وَمَا كَانُوْا مُهْتَدِيْنَ;fa mā rabiḥat tijāratuhum wa mā kānụ muhtadī;ā fa mā ra bi ḥat ti jā ra tu hum wa mā kā nụ muh ta dī
2;17;1;مَثَلُهُمْ كَمَثَلِ الَّذِى اسْتَوْقَدَ نَارًا ۚ فَلَمَّآ اَضَاۤءَتْ مَا حَوْلَهٗ;maṡaluhum kamaṡalillażistauqada nārā, fa lammā aḍā`at mā ḥaulahụ ;ma ṡa lu hum ka ma ṡa lil la żis tau qa da nā rā , fa lam mā a ḍā `at mā ḥau la hụ
2;17;2;ذَهَبَ اللّٰهُ بِنُوْرِهِمْ وَتَرَكَهُمْ فِيْ ظُلُمٰتٍ لَّا يُبْصِرُوْنَ;żahaballāhu binụrihim wa tarakahum fī ẓulumātil lā yubṣirụn;l llā hu bi nụ ri him wa ta ra ka hum fī ẓu lu mā til lā yub ṣi rụn
2;18;1;صُمٌّ ۢ بُكْمٌ عُمْيٌ فَهُمْ لَا يَرْجِعُوْنَۙ;ṣummum bukmun 'umyun fa hum lā yarji'ụn;ṣum mum buk mun 'um yun fa hum lā yar ji 'ụn
2;19;1;اَوْ كَصَيِّبٍ مِّنَ السَّمَاۤءِ فِيْهِ ظُلُمٰتٌ وَّرَعْدٌ وَّبَرْقٌۚ;au kaṣayyibim minas-samā`i fīhi ẓulumātuw wa ra'duw wa barq, ;au ka ṣay yi bim mi nas sa mā `i fī hi ẓu lu mā tuw wa ra' duw wa barq ,
2;19;2;يَجْعَلُوْنَ اَصَابِعَهُمْ فِيْٓ اٰذَانِهِمْ مِّنَ الصَّوَاعِقِ;yaj'alụna aṣābi'ahum fī āżānihim minaṣ-ṣawā'iqi;, yaj 'a lụ na a ṣā bi 'a hum fī ā żā ni him mi naṣ ṣa wā 'i qi
2;19;3;حَذَرَ الْمَوْتِۗ وَاللّٰهُ مُحِيْطٌۢ بِالْكٰفِرِيْنَ;ḥażaral-maụt, wallāhu muḥīṭum bil-kāfirī;l llā hu mu ḥī ṭum bil kā fi rīn
2;20;1;يَكَادُ الْبَرْقُ يَخْطَفُ اَبْصَارَهُمْ ۗ كُلَّمَآ اَضَاۤءَ لَهُمْ مَّشَوْا;yakādul-barqu yakhṭafu abṣārahum, kullamā aḍā`a lahum masya;ya kā dul bar qu yakh ṭa fu ab ṣā ra hum , kul la mā a ḍā `a la hum ma sya
2;20;2;فِيْهِ ۙ وَاِذَآ اَظْلَمَ عَلَيْهِمْ قَامُوْا ۗوَلَوْ شَاۤءَ اللّٰهُ لَذَهَبَ;fīhi wa iżā aẓlama 'alaihim qāmụ, walau syā`allāhu lażahab;u fī hi wa i żā aẓ la ma 'a lai him qā mụ , wa lau syā `all llā hu la ża h
2;20;3;بِسَمْعِهِمْ وَاَبْصَارِهِمْ ۗ اِنَّ اللّٰهَ عَلٰى كُلِّ شَيْءٍ قَدِيْرٌ ࣖ; bisam'ihim wa abṣārihim, innallāha 'alā kulli syai`ing qadīr;a bi sam 'i him wa ab ṣā ri him , in nall llā ha 'a lā kul li syai `ing qa d
2;21;1;يٰٓاَيُّهَا النَّاسُ اعْبُدُوْا رَبَّكُمُ الَّذِيْ خَلَقَكُمْ;yā ayyuhan-nāsu'budụ rabbakumullażī khalaqakum ;yā ay yu han nā su' bu dụ rab ba ku mul la żī kha la qa kum
2;21;2;وَالَّذِيْنَ مِنْ قَبْلِكُمْ لَعَلَّكُمْ تَتَّقُوْنَۙ; wallażīna ming qablikum la'allakum tattaqụn;m wal la żī na ming qab li kum la 'al la kum tat ta qụn
2;22;1;الَّذِيْ جَعَلَ لَكُمُ الْاَرْضَ فِرَاشًا وَّالسَّمَاۤءَ بِنَاۤءً ۖوَّاَنْزَلَ;llażī ja'ala lakumul-arḍa firāsyaw was-samā`a binā`aw wa anzala;al la żī ja 'a la la ku mul ar ḍa fi rā syaw was sa mā `a bi nā `aw wa an za la
2;22;2;مِنَ السَّمَاۤءِ مَاۤءً فَاَخْرَجَ بِهٖ مِنَ الثَّمَرٰتِ رِزْقًا لَّكُمْ; minas-samā`i mā`an fa akhraja bihī minaṡ-ṡamarāti rizqal lakum;a mi nas sa mā `i mā `an fa akh ra ja bi hī mi naṡ ṡa ma rā ti riz qal la kum
2;22;3;ۚ فَلَا تَجْعَلُوْا لِلّٰهِ اَنْدَادًا وَّاَنْتُمْ تَعْلَمُوْنَ; fa lā taj'alụ lillāhi andādaw wa antum ta'lamụn;, fa lā taj 'a lụ lil lā hi an dā daw wa an tum ta' la mụn
2;23;1;وَاِنْ كُنْتُمْ فِيْ رَيْبٍ مِّمَّا نَزَّلْنَا عَلٰى عَبْدِنَا فَأْتُوْا بِسُوْرَةٍ مِّنْ;wa ing kuntum fī raibim mimmā nazzalnā 'alā 'abdinā fa`tụ bisụratim m;wa ing kun tum fī rai bim mim mā naz zal nā 'a lā 'ab di nā fa` tụ bi sụ ra tim m
2;23;2;مِّثْلِهٖ ۖ وَادْعُوْا شُهَدَاۤءَكُمْ مِّنْ دُوْنِ اللّٰهِ اِنْ كُنْتُمْ صٰدِقِيْنَ;miṡlihī wad'ụ syuhadā`akum min dụnillāhi ing kuntum ṣādiqīn;m miṡ li hī wad 'ụ syu ha dā `a kum min dụ nil lā hi ing kun tum ṣā di qīn
2;24;1;فَاِنْ لَّمْ تَفْعَلُوْا وَلَنْ تَفْعَلُوْا فَاتَّقُوا النَّارَ الَّتِيْ; il lam taf'alụ wa lan taf'alụ fattaqun-nārallatī;a il lam taf 'a lụ wa lan taf 'a lụ fat ta qun nā ral la tī
2;24;2;وَقُوْدُهَا النَّاسُ وَالْحِجَارَةُ ۖ اُعِدَّتْ لِلْكٰفِرِيْنَ;waqụduhan-nāsu wal-ḥijāratu u'iddat lil-kāfirī;ī wa qụ du han nā su wal ḥi jā ra tu u 'id dat lil kā fi rī
2;25;1;وَبَشِّرِ الَّذِيْنَ اٰمَنُوْا وَعَمِلُوا الصّٰلِحٰتِ اَنَّ لَهُمْ جَنّٰتٍ تَجْرِيْ;wa basysyirillażīna āmanụ wa 'amiluṣ-ṣāliḥāti anna lahum jannātin taj;wa basy syi ril la żī na ā ma nụ wa 'a mi luṣ ṣā li ḥā ti an na la hum jan nā tin taj
2;25;2;مِنْ تَحْتِهَا الْاَنْهٰرُ ۗ كُلَّمَا رُزِقُوْا مِنْهَا مِنْ ثَمَرَةٍ رِّزْقًا;min taḥtihal-an-hār, kullamā ruziqụ min-hā min ṡamaratir riz;ī min taḥ ti hal an hār , kul la mā ru zi qụ min hā min ṡa ma ra tir riz
2;25;3;ۙ قَالُوْا هٰذَا الَّذِيْ رُزِقْنَا مِنْ قَبْلُ وَاُتُوْا بِهٖ مُتَشَابِهًا ۗوَلَهُمْ; qālụ hāżallażī ruziqnā ming qablu wa utụ bihī mutasyābihā, wa l;g qā lụ hā żal la żī ru ziq nā ming qab lu wa u tụ bi hī mu ta syā bi hā , wa l
2;25;4;فِيْهَآ اَزْوَاجٌ مُّطَهَّرَةٌ وَّهُمْ فِيْهَا خٰلِدُوْنَ;fīhā azwājum muṭahharatuw wa hum fīhā khālidụn;m fī hā az wā jum mu ṭah ha ra tuw wa hum fī hā khā li dụn
2;26;1;۞ اِنَّ اللّٰهَ لَا يَسْتَحْيٖٓ اَنْ يَّضْرِبَ مَثَلًا مَّا بَعُوْضَةً فَمَا فَوْقَهَا ۗ;innallāha lā yastaḥyī ay yaḍriba maṡalam mā ba'ụḍatan fa mā fauqahā;l llā ha lā yas taḥ yī ay yaḍ ri ba ma ṡa lam mā ba 'ụ ḍa tan fa mā fau qa hā , fa a
2;26;2;فَاَمَّا الَّذِيْنَ اٰمَنُوْا فَيَعْلَمُوْنَ اَنَّهُ الْحَقُّ مِنْ رَّبِّهِمْ ۚ وَاَمَّا; ammallażīna āmanụ fa ya'lamụna annahul-ḥaqqu mir rabbihim, wa amm;a am mal la żī na ā ma nụ fa ya' la mụ na an na hul ḥaq qu mir rab bi him , wa am m
2;26;3;الَّذِيْنَ كَفَرُوْا فَيَقُوْلُوْنَ مَاذَآ اَرَادَ اللّٰهُ بِهٰذَا مَثَلًا ۘ يُضِلُّ;lażīna kafarụ fa yaqụlụna māżā arādallāhu bihāżā maṡalā, yuḍillu;l la żī na ka fa rụ fa ya qụ lụ na mā żā a rā dall llā hu bi hā żā ma ṡa lā , yu ḍil
2;26;4;بِهٖ كَثِيْرًا وَّيَهْدِيْ بِهٖ كَثِيْرًا ۗ وَمَا يُضِلُّ بِهٖٓ اِلَّا الْفٰسِقِيْنَۙ; kaṡīraw wa yahdī bihī kaṡīrā, wa mā yuḍillu bihī illal-fāsiqīn;ī ka ṡī raw wa yah dī bi hī ka ṡī rā , wa mā yu ḍil lu bi hī il lal fā si qīn
2;27;1;الَّذِيْنَ يَنْقُضُوْنَ عَهْدَ اللّٰهِ مِنْۢ بَعْدِ مِيْثَاقِهٖۖ;llażīna yangquḍụna 'ahdallāhi mim ba'di mīṡāqih;al la żī na yang qu ḍụ na 'ah dall llā hi mim ba' di mī ṡā q
2;27;2;وَيَقْطَعُوْنَ مَآ اَمَرَ اللّٰهُ بِهٖٓ اَنْ يُّوْصَلَ وَيُفْسِدُوْنَ;wa yaqṭa'ụna mā amarallāhu bihī ay yụṣala wa yufsid;l llā hu bi hī ay yụ ṣa la wa yuf si dụ na fil arḍ , u lā `i ka h
2;27;3;فِى الْاَرْضِۗ اُولٰۤىِٕكَ هُمُ الْخٰسِرُوْنَ; fil-arḍ, ulā`ika humul-khāsir;a fil arḍ , u lā `i ka hu mul khā si r
2;28;1;كَيْفَ تَكْفُرُوْنَ بِاللّٰهِ وَكُنْتُمْ اَمْوَاتًا فَاَحْيَاكُمْۚ;kaifa takfurụna billāhi wa kuntum amwātan fa aḥyākum;kai fa tak fu rụ na bil lā hi wa kun tum am wā tan fa aḥ yā kum
2;28;2;ثُمَّ يُمِيْتُكُمْ ثُمَّ يُحْيِيْكُمْ ثُمَّ اِلَيْهِ تُرْجَعُوْنَ; ṡumma yumītukum ṡumma yuḥyīkum ṡumma ilaihi turja'ụn;, ṡum ma yu mī tu kum ṡum ma yuḥ yī kum ṡum ma i lai hi tur ja 'ụn
2;29;1;هُوَ الَّذِيْ خَلَقَ لَكُمْ مَّا فِى الْاَرْضِ جَمِيْعًا ثُمَّ اسْتَوٰٓى اِلَى;huwallażī khalaqa lakum mā fil-arḍi jamī'an ṡummastawā ila;hu wal la żī kha la qa la kum mā fil ar ḍi ja mī 'an ṡum mas ta wā i la
2;29;2;السَّمَاۤءِ فَسَوّٰىهُنَّ سَبْعَ سَمٰوٰتٍ ۗ وَهُوَ بِكُلِّ شَيْءٍ عَلِيْمٌ ࣖ;ilas-samā`i fa sawwāhunna sab'a samāwāt, wa huwa bikulli syai`in 'alīm;ā i las sa mā `i fa saw wā hun na sab 'a sa mā wāt , wa hu wa bi kul li syai `in 'a līm
2;30;1;وَاِذْ قَالَ رَبُّكَ لِلْمَلٰۤىِٕكَةِ ِانِّيْ جَاعِلٌ فِى الْاَرْضِ خَلِيْفَةً ۗ قَالُوْٓا; iż qāla rabbuka lil-malā`ikati innī jā'ilun fil-arḍi khalīfah, qālū ;a iż qā la rab bu ka lil ma lā `i ka ti in nī jā 'i lun fil ar ḍi kha lī fah , qā lū
2;30;2;اَتَجْعَلُ فِيْهَا مَنْ يُّفْسِدُ فِيْهَا وَيَسْفِكُ الدِّمَاۤءَۚ وَنَحْنُ نُسَبِّحُ;taj'alu fīhā may yufsidu fīhā wa yasfikud-dimā`, wa naḥnu nusabbiḥu;a taj 'a lu fī hā may yuf si du fī hā wa yas fi kud di mā` , wa naḥ nu nu sab bi ḥu
2;30;3;بِحَمْدِكَ وَنُقَدِّسُ لَكَ ۗ قَالَ اِنِّيْٓ اَعْلَمُ مَا لَا تَعْلَمُوْنَ;biḥamdika wa nuqaddisu lak, qāla innī a'lamu mā lā ta'lamụn;u bi ḥam di ka wa nu qad di su lak , qā la in nī a' la mu mā lā ta' la mụn
2;31;1;وَعَلَّمَ اٰدَمَ الْاَسْمَاۤءَ كُلَّهَا ثُمَّ عَرَضَهُمْ عَلَى الْمَلٰۤىِٕكَةِ;wa 'allama ādamal-asmā`a kullahā ṡumma 'araḍahum 'alal-malā`ika;wa 'al la ma ā da mal as mā `a kul la hā ṡum ma 'a ra ḍa hum 'a lal ma lā `i ka
2;31;2;فَقَالَ اَنْۢبِـُٔوْنِيْ بِاَسْمَاۤءِ هٰٓؤُلَاۤءِ اِنْ كُنْتُمْ صٰدِقِيْنَ;i fa qāla ambi`ụnī bi`asmā`i hā`ulā`i ing kuntum ṣādiqīn;ti fa qā la am bi `ụ nī bi `as mā `i hā `u lā `i ing kun tum ṣā di qīn
2;32;1;قَالُوْا سُبْحٰنَكَ لَا عِلْمَ لَنَآ اِلَّا مَا عَلَّمْتَنَا ۗاِنَّكَ اَنْتَ الْعَلِيْمُ الْحَكِيْمُ;qālụ sub-ḥānaka lā 'ilma lanā illā mā 'allamtanā, innaka antal-'alīmul-ḥakīm;qā lụ sub ḥā na ka lā 'il ma la nā il lā mā 'al lam ta nā , in na ka an tal 'a lī mul ḥa kīm
2;33;1;قَالَ يٰٓاٰدَمُ اَنْۢبِئْهُمْ بِاَسْمَاۤىِٕهِمْ ۚ فَلَمَّآ اَنْۢبَاَهُمْ;qāla yā ādamu ambi`hum bi`asmā`ihim, fa lammā amba`ahu;qā la yā ā da mu am bi` hum bi `as mā `i him , fa lam mā am ba `a hu
2;33;2;بِاَسْمَاۤىِٕهِمْۙ قَالَ اَلَمْ اَقُلْ لَّكُمْ اِنِّيْٓ اَعْلَمُ غَيْبَ السَّمٰوٰتِ;bi`asmā`ihim qāla a lam aqul lakum innī a'lamu gaibas-samāwā;m bi `as mā `i him qā la a lam a qul la kum in nī a' la mu gai bas sa mā wā
2;33;3;وَالْاَرْضِۙ وَاَعْلَمُ مَا تُبْدُوْنَ وَمَا كُنْتُمْ تَكْتُمُوْنَ; wal-arḍi wa a'lamu mā tubdụna wa mā kuntum taktum;i wal ar ḍi wa a' la mu mā tub dụ na wa mā kun tum tak tu m
2;34;1;وَاِذْ قُلْنَا لِلْمَلٰۤىِٕكَةِ اسْجُدُوْا لِاٰدَمَ فَسَجَدُوْٓا اِلَّآ;iż qulnā lil-malā`ikatisjudụ li`ādama fa sajadū illā ;a iż qul nā lil ma lā `i ka tis ju dụ li `ā da ma fa sa ja dū il lā
2;34;2;اِبْلِيْسَۗ اَبٰى وَاسْتَكْبَرَۖ وَكَانَ مِنَ الْكٰفِرِيْنَ;iblīs, abā wastakbara wa kāna minal-kāfirīn;ā ib līs , a bā was tak ba ra wa kā na mi nal kā fi rīn
2;35;1;وَقُلْنَا يٰٓاٰدَمُ اسْكُنْ اَنْتَ وَزَوْجُكَ الْجَنَّةَ وَكُلَا مِنْهَا رَغَدًا حَيْثُ;wa qulnā yā ādamuskun anta wa zaujukal-jannata wa kulā min-hā ragadan ḥ;wa qul nā yā ā da mus kun an ta wa zau ju kal jan na ta wa ku lā min hā ra ga dan ḥ
2;35;2;شِئْتُمَاۖ وَلَا تَقْرَبَا هٰذِهِ الشَّجَرَةَ فَتَكُوْنَا مِنَ الظّٰلِمِيْنَ;syi`tumā wa lā taqrabā hāżihisy-syajarata fa takụnā minaẓ-ẓālimī;u syi` tu mā wa lā taq ra bā hā żi hisy sya ja ra ta fa ta kụ nā mi naẓ ẓā li mī
2;36;1;فَاَزَلَّهُمَا الشَّيْطٰنُ عَنْهَا فَاَخْرَجَهُمَا مِمَّا كَانَا;fa azallahumasy-syaiṭānu 'an-hā fa akhrajahumā mimmā kān;fa a zal la hu masy syai ṭā nu 'an hā fa akh ra ja hu mā mim mā kā n
2;36;2;فِيْهِ ۖ وَقُلْنَا اهْبِطُوْا بَعْضُكُمْ لِبَعْضٍ عَدُوٌّ ۚ وَلَكُمْ;fīhi wa qulnahbiṭụ ba'ḍukum liba'ḍin 'aduww, wa laku;ā fī hi wa qul nah bi ṭụ ba' ḍu kum li ba' ḍin 'a duww , wa la ku
2;36;3;فِى الْاَرْضِ مُسْتَقَرٌّ وَّمَتَاعٌ اِلٰى حِيْنٍ;fil-arḍi mustaqarruw wa matā'un ilā ḥīn;m fil ar ḍi mus ta qar ruw wa ma tā 'un i lā ḥīn
2;37;1;فَتَلَقّٰٓى اٰدَمُ مِنْ رَّبِّهٖ كَلِمٰتٍ فَتَابَ عَلَيْهِ ۗ اِنَّهٗ هُوَ التَّوَّابُ الرَّحِيْمُ;fa talaqqā ādamu mir rabbihī kalimātin fa tāba 'alaīh, innahụ huwat-tawwābur-raḥīm;fa ta laq qā ā da mu mir rab bi hī ka li mā tin fa tā ba 'a laīh , in na hụ hu wat taw wā bur ra ḥīm
2;38;1;قُلْنَا اهْبِطُوْا مِنْهَا جَمِيْعًا ۚ فَاِمَّا يَأْتِيَنَّكُمْ مِّنِّيْ;qulnahbiṭụ min-hā jamī'ā, fa immā ya`tiyannakum minn;qul nah bi ṭụ min hā ja mī 'ā , fa im mā ya` ti yan na kum min n
2;38;2;هُدًى فَمَنْ تَبِعَ هُدَايَ فَلَا خَوْفٌ عَلَيْهِمْ وَلَا هُمْ يَحْزَنُوْنَ;hudan fa man tabi'a hudāya fa lā khaufun 'alaihim wa lā hum yaḥzan;ī hu dan fa man ta bi 'a hu dā ya fa lā khau fun 'a lai him wa lā hum yaḥ za n
2;39;1;وَالَّذِيْنَ كَفَرُوْا وَكَذَّبُوْا بِاٰيٰتِنَآ اُولٰۤىِٕكَ اَصْحٰبُ النَّارِ ۚ هُمْ فِيْهَا خٰلِدُوْنَ ࣖ;wallażīna kafarụ wa każżabụ bi`āyātinā ulā`ika aṣ-ḥābun-nār, hum fīhā khālidụn;wal la żī na ka fa rụ wa każ ża bụ bi `ā yā ti nā u lā `i ka aṣ ḥā bun nār , hum fī hā khā li dụn
2;40;1;يٰبَنِيْٓ اِسْرَاۤءِيْلَ اذْكُرُوْا نِعْمَتِيَ الَّتِيْٓ اَنْعَمْتُ عَلَيْكُمْ;yā banī isrā`īlażkurụ ni'matiyallatī an'amtu 'alaikum ;yā ba nī is rā `ī laż ku rụ ni' ma ti yal la tī an 'am tu 'a lai kum
2;40;2;وَاَوْفُوْا بِعَهْدِيْٓ اُوْفِ بِعَهْدِكُمْۚ وَاِيَّايَ فَارْهَبُوْنِ;wa aufụ bi'ahdī ụfi bi'ahdikum, wa iyyāya far-ha;m wa au fụ bi 'ah dī ụ fi bi 'ah di kum , wa iy yā ya far ha
2;41;1;وَاٰمِنُوْا بِمَآ اَنْزَلْتُ مُصَدِّقًا لِّمَا مَعَكُمْ وَلَا تَكُوْنُوْٓا اَوَّلَ كَافِرٍۢ;wa āminụ bimā anzaltu muṣaddiqal limā ma'akum wa lā takụnū awwala kāfiri;wa ā mi nụ bi mā an zal tu mu ṣad di qal li mā ma 'a kum wa lā ta kụ nū aw wa la kā fi ri
2;41;2;بِهٖ ۖ وَلَا تَشْتَرُوْا بِاٰيٰتِيْ ثَمَنًا قَلِيْلًا ۖوَّاِيَّايَ فَاتَّقُوْنِ; bihī wa lā tasytarụ bi`āyātī ṡamanang qalīlaw wa iyyāya fa;m bi hī wa lā tasy ta rụ bi `ā yā tī ṡa ma nang qa lī law wa iy yā ya fa
