id;aya;sura;transcript;created_at;updated_at
46;38;2;"qul nah bi ṭụ min hā ja mī 'ā , fa im mā ya` ti yan na kum min nī hu dan fa man ta bi 'a hu dā ya fa lā khau fun 'a lai him wa lā hum yaḥ za nụn";;
47;39;2;"wal la żī na ka fa rụ wa każ ża bụ bi `ā yā ti nā u lā `i ka aṣ ḥā bun nār , hum fī hā khā li dụn";;
48;40;2;"yā ba nī is rā `ī laż ku rụ ni' ma ti yal la tī an 'am tu 'a lai kum wa au fụ bi 'ah dī ụ fi bi 'ah di kum , wa iy yā ya far ha bụn";;
49;41;2;wa ā mi nụ bi mā an zal tu mu ṣad di qal li mā ma 'a kum wa lā ta kụ nū aw wa la kā fi rim bi hī wa lā tasy ta rụ bi `ā yā tī ṡa ma nang qa lī law wa iy yā ya fat ta qụn;;
50;42;2;wa lā tal bi sul ḥaq qa bil bā ṭi li wa tak tu mul ḥaq qa wa an tum ta' la mụn;;
51;43;2;wa a qī muṣ ṣa lā ta wa ā tuz za kā ta war ka 'ụ ma 'ar rā ki 'īn;;
52;44;2;"a ta` mu rụ nan nā sa bil bir ri wa tan sau na an fu sa kum wa an tum tat lụ nal ki tāb , a fa lā ta' qi lụn";;
53;45;2;"was ta 'ī nụ biṣ ṣab ri waṣ ṣa lāh , wa in na hā la ka bī ra tun il lā 'a lal khā syi 'īn";;
54;46;2;al la żī na ya ẓun nụ na an na hum mu lā qụ rab bi him wa an na hum i lai hi rā ji 'ụn;;
55;47;2;yā ba nī is rā `ī laż ku rụ ni' ma ti yal la tī an 'am tu 'a lai kum wa an nī faḍ ḍal tu kum 'a lal 'ā la mīn;;
56;48;2;wat ta qụ yau mal lā taj zī naf sun 'an naf sin syai `aw wa lā yuq ba lu min hā sya fā 'a tuw wa lā yu` kha żu min hā 'ad luw wa lā hum yun ṣa rụn;;
57;49;2;"wa iż naj jai nā kum min ā li fir 'au na ya sụ mụ na kum sū `al 'a żā bi yu żab bi ḥụ na ab nā `a kum wa yas taḥ yụ na ni sā `a kum , wa fī żā li kum ba lā `um mir rab bi kum 'a ẓīm";;
58;50;2;wa iż fa raq nā bi ku mul baḥ ra fa an jai nā kum wa ag raq nā ā la fir 'au na wa an tum tan ẓu rụn;;
59;51;2;wa iż wā 'ad nā mụ sā ar ba 'ī na lai la tan ṡum mat ta khaż tu mul 'ij la mim ba' di hī wa an tum ẓā li mụn;;
60;52;2;ṡum ma 'a fau nā 'ang kum mim ba' di żā li ka la 'al la kum tasy ku rụn;;
61;53;2;wa iż ā tai nā mụ sal ki tā ba wal fur qā na la 'al la kum tah ta dụn;;
62;54;2;"wa iż qā la mụ sā li qau mi hī yā qau mi in na kum ẓa lam tum an fu sa kum bit ti khā żi ku mul 'ij la fa tụ bū i lā bā ri `i kum faq tu lū an fu sa kum , żā li kum khai rul la kum 'in da bā ri `i kum , fa tā ba 'a lai kum , in na hụ hu wat taw wā bur ra ḥīm";;
63;55;2;wa iż qul tum yā mụ sā lan nu` mi na la ka ḥat tā na rall llā ha jah ra tan fa a kha żat ku muṣ ṣā 'i qa tu wa an tum tan ẓu rụn;;
64;56;2;ṡum ma ba 'aṡ nā kum mim ba' di mau ti kum la 'al la kum tasy ku rụn;;
65;57;2;"wa ẓal lal nā 'a lai ku mul ga mā ma wa an zal nā 'a lai ku mul man na was sal wā , ku lụ min ṭay yi bā ti mā ra zaq nā kum , wa mā ẓa la mụ nā wa lā king kā nū an fu sa hum yaẓ li mụn";;
66;58;2;"wa iż qul nad khu lụ hā żi hil qar ya ta fa ku lụ min hā ḥai ṡu syi` tum ra ga daw wad khu lul bā ba suj ja daw wa qụ lụ ḥiṭ ṭa tun nag fir la kum kha ṭā yā kum , wa sa na zī dul muḥ si nīn";;
67;59;2;fa bad da lal la żī na ẓa la mụ qau lan gai ral la żī qī la la hum fa an zal nā 'a lal la żī na ẓa la mụ rij zam mi nas sa mā `i bi mā kā nụ yaf su qụn;;
68;60;2;"wa i żis tas qā mụ sā li qau mi hī fa qul naḍ rib bi 'a ṣā kal ḥa jar , fan fa ja rat min huṡ na tā 'asy ra ta 'ai nā , qad 'a li ma kul lu u nā sim masy ra ba hum , ku lụ wasy ra bụ mir riz qil lā hi wa lā ta' ṡau fil ar ḍi muf si dīn";;
69;61;2;"wa iż qul tum yā mụ sā lan naṣ bi ra 'a lā ṭa 'ā miw wā ḥi din fad 'u la nā rab ba ka yukh rij la nā mim mā tum bi tul ar ḍu mim baq li hā wa qiṡ ṡā `i hā wa fụ mi hā wa 'a da si hā wa ba ṣa li hā , qā la a tas tab di lụ nal la żī hu wa ad nā bil la żī hu wa khaīr , ih bi ṭụ miṣ ran fa in na la kum mā sa `al tum , wa ḍu ri bat 'a lai hi muż żil la tu wal mas ka na tu wa bā `ụ bi ga ḍa bim mi nall llāh , żā li ka bi `an na hum kā nụ yak fu rụ na bi `ā yā til lā hi wa yaq tu lụ nan na biy yī na bi gai ril ḥaqq , żā li ka bi mā 'a ṣaw wa kā nụ ya' ta dụn";;
70;62;2;"in nal la żī na ā ma nụ wal la żī na hā dụ wan na ṣā rā waṣ ṣā bi `ī na man ā ma na bil lā hi wal yau mil ā khi ri wa 'a mi la ṣā li ḥan fa la hum aj ru hum 'in da rab bi him , wa lā khau fun 'a lai him wa lā hum yaḥ za nụn";;
71;63;2;"wa iż a khaż nā mī ṡā qa kum wa ra fa' nā fau qa ku muṭ ṭụr , khu żụ mā ā tai nā kum bi quw wa tiw waż ku rụ mā fī hi la 'al la kum tat ta qụn";;
72;64;2;ṡum ma ta wal lai tum mim ba' di żā li ka fa lau lā faḍ lull llā hi 'a lai kum wa raḥ ma tu hụ la kun tum mi nal khā si rīn;;
73;65;2;wa la qad 'a lim tu mul la żī na' ta dau ming kum fis sab ti fa qul nā la hum kụ nụ qi ra da tan khā si `īn;;
74;66;2;fa ja 'al nā hā na kā lal li mā bai na ya dai hā wa mā khal fa hā wa mau 'i ẓa tal lil mut ta qīn;;
75;67;2;"wa iż qā la mụ sā li qau mi hī in nall llā ha ya` mu ru kum an taż ba ḥụ ba qa rah , qā lū a tat ta khi żu nā hu zu wā , qā la a 'ụ żu bil lā hi an a kụ na mi nal jā hi līn";;
76;68;2;"qā lud 'u la nā rab ba ka yu bay yil la nā mā hiy , qā la in na hụ ya qụ lu in na hā ba qa ra tul lā fā ri ḍuw wa lā bikr , 'a wā num bai na żā lik , faf 'a lụ mā tu` ma rụn";;
77;69;2;"qā lud 'u la nā rab ba ka yu bay yil la nā mā lau nu hā , qā la in na hụ ya qụ lu in na hā ba qa ra tun ṣaf rā `u fā qi 'ul lau nu hā ta sur run nā ẓi rīn";;
78;70;2;"qā lud 'u la nā rab ba ka yu bay yil la nā mā hi ya in nal ba qa ra ta syā ba ha 'a lai nā , wa in nā in syā `all llā hu la muh ta dụn";;
79;71;2;"qā la in na hụ ya qụ lu in na hā ba qa ra tul lā ża lụ lun tu ṡī rul ar ḍa wa lā tas qil ḥarṡ , mu sal la ma tul lā syi ya ta fī hā , qā lul ā na ji` ta bil ḥaq qi fa ża ba ḥụ hā wa mā kā dụ yaf 'a lụn";;
80;72;2;"wa iż qa tal tum naf san fad dā ra' tum fī hā , wall llā hu mukh ri jum mā kun tum tak tu mụn";;
81;73;2;"fa qul naḍ ri bụ hu bi ba' ḍi hā , ka żā li ka yuḥ yil lā hul mau tā wa yu rī kum ā yā ti hī la 'al la kum ta' qi lụn";;
82;74;2;"ṡum ma qa sat qu lụ bu kum mim ba' di żā li ka fa hi ya kal ḥi jā ra ti au a syad du qas wah , wa in na mi nal ḥi jā ra ti la mā ya ta faj ja ru min hul an hār , wa in na min hā la mā yasy syaq qa qu fa yakh ru ju min hul mā` , wa in na min hā la mā yah bi ṭu min khasy ya til lāh , wa mall llā hu bi gā fi lin 'am mā ta' ma lụn";;
83;75;2;a fa taṭ ma 'ụ na ay yu` mi nụ la kum wa qad kā na fa rī qum min hum yas ma 'ụ na ka lā mall llā hi ṡum ma yu ḥar ri fụ na hụ mim ba' di mā 'a qa lụ hu wa hum ya' la mụn;;
84;76;2;"wa i żā la qul la żī na ā ma nụ qā lū ā man nā , wa i żā kha lā ba' ḍu hum i lā ba' ḍing qā lū a tu ḥad di ṡụ na hum bi mā fa ta ḥall llā hu 'a lai kum li yu ḥāj jụ kum bi hī 'in da rab bi kum , a fa lā ta' qi lụn";;
85;77;2;a wa lā ya' la mụ na an nall llā ha ya' la mu mā yu sir rụ na wa mā yu' li nụn;;
86;78;2;wa min hum um miy yụ na lā ya' la mụ nal ki tā ba il lā a mā niy ya wa in hum il lā ya ẓun nụn;;
87;79;2;"fa wai lul lil la żī na yak tu bụ nal ki tā ba bi `ai dī him ṡum ma ya qụ lụ na hā żā min 'in dil lā hi li yasy ta rụ bi hī ṡa ma nang qa lī lā , fa wai lul la hum mim mā ka ta bat ai dī him wa wai lul la hum mim mā yak si bụn";;
88;80;2;"wa qā lụ lan ta mas sa nan nā ru il lā ay yā mam ma' dụ dah , qul at ta khaż tum 'in dall llā hi 'ah dan fa lay yukh li fall llā hu 'ah da hū am ta qụ lụ na 'a lall llā hi mā lā ta' la mụn";;
89;81;2;"ba lā mang ka sa ba say yi `a taw wa `a ḥā ṭat bi hī kha ṭī `a tu hụ fa u lā `i ka aṣ ḥā bun nār , hum fī hā khā li dụn";;
90;82;2;"wal la żī na ā ma nụ wa 'a mi luṣ ṣā li ḥā ti u lā `i ka aṣ ḥā bul jan nah , hum fī hā khā li dụn";;
91;83;2;"wa iż a khaż nā mī ṡā qa ba nī is rā `ī la lā ta' bu dụ na il lall llā ha wa bil wā li dai ni iḥ sā naw wa żil qur bā wal ya tā mā wal ma sā kī ni wa qụ lụ lin nā si ḥus naw wa a qī muṣ ṣa lā ta wa ā tuz za kāh , ṡum ma ta wal lai tum il lā qa lī lam ming kum wa an tum mu' ri ḍụn";;
92;84;2;wa iż a khaż nā mī ṡā qa kum lā tas fi kụ na di mā `a kum wa lā tukh ri jụ na an fu sa kum min di yā ri kum ṡum ma aq rar tum wa an tum tasy ha dụn;;
93;85;2;"ṡum ma an tum hā `u lā `i taq tu lụ na an fu sa kum wa tukh ri jụ na fa rī qam ming kum min di yā ri him ta ẓā ha rụ na 'a lai him bil iṡ mi wal 'ud wān , wa iy ya` tụ kum u sā rā tu fā dụ hum wa hu wa mu ḥar ra mun 'a lai kum ikh rā ju hum , a fa tu` mi nụ na bi ba' ḍil ki tā bi wa tak fu rụ na bi ba'ḍ , fa mā ja zā `u may yaf 'a lu żā li ka ming kum il lā khiz yun fil ḥa yā tid dun yā , wa yau mal qi yā ma ti yu rad dụ na i lā a syad dil 'a żāb , wa mall llā hu bi gā fi lin 'am mā ta' ma lụn";;
94;86;2;u lā `i kal la żī nasy ta ra wul ḥa yā tad dun yā bil ā khi ra ti fa lā yu khaf fa fu 'an hu mul 'a żā bu wa lā hum yun ṣa rụn;;
95;87;2;"wa la qad ā tai nā mụ sal ki tā ba wa qaf fai nā mim ba' di hī bir ru su li wa ā tai nā 'ī sab na mar ya mal bay yi nā ti wa ay yad nā hu bi rụ ḥil qu dus , a fa kul la mā jā `a kum ra sụ lum bi mā lā tah wā an fu su ku mus tak bar tum , fa fa rī qang każ żab tum wa fa rī qan taq tu lụn";;
96;88;2;"wa qā lụ qu lụ bu nā gulf , bal la 'a na hu mull llā hu bi kuf ri him fa qa lī lam mā yu` mi nụn";;
97;89;2;"wa lam mā jā `a hum ki tā bum min 'in dil lā hi mu ṣad di qul li mā ma 'a hum wa kā nụ ming qab lu yas taf ti ḥụ na 'a lal la żī na ka fa rụ , fa lam mā jā `a hum mā 'a ra fụ ka fa rụ bi hī fa la' na tull llā hi 'a lal kā fi rīn";;
98;90;2;"bi` sa masy ta rau bi hī an fu sa hum ay yak fu rụ bi mā an za lall llā hu bag yan ay yu naz zi lall llā hu min faḍ li hī 'a lā may ya syā `u min 'i bā dih , fa bā `ụ bi ga ḍa bin 'a lā ga ḍab , wa lil kā fi rī na 'a żā bum mu hīn";;
99;91;2;"wa i żā qī la la hum ā mi nụ bi mā an za lall llā hu qā lụ nu` mi nu bi mā un zi la 'a lai nā wa yak fu rụ na bi mā wa rā `a hụ wa hu wal ḥaq qu mu ṣad di qal li mā ma 'a hum , qul fa li ma taq tu lụ na am bi yā `all llā hi ming qab lu ing kun tum mu` mi nīn";;
100;92;2;wa la qad jā `a kum mụ sā bil bay yi nā ti ṡum mat ta khaż tu mul 'ij la mim ba' di hī wa an tum ẓā li mụn;;
101;93;2;"wa iż a khaż nā mī ṡā qa kum wa ra fa' nā fau qa ku muṭ ṭụr , khu żụ mā ā tai nā kum bi quw wa tiw was ma 'ụ , qā lụ sa mi' nā wa 'a ṣai nā wa usy ri bụ fī qu lụ bi hi mul 'ij la bi kuf ri him , qul bi` sa mā ya` mu ru kum bi hī ī mā nu kum ing kun tum mu` mi nīn";;
102;94;2;qul ing kā nat la ku mud dā rul ā khi ra tu 'in dall llā hi khā li ṣa tam min dụ nin nā si fa ta man na wul mau ta ing kun tum ṣā di qīn;;
103;95;2;"wa lay ya ta man nau hu a ba dam bi mā qad da mat ai dī him , wall llā hu 'a lī mum biẓ ẓā li mīn";;
104;96;2;"wa la ta ji dan na hum aḥ ra ṣan nā si 'a lā ḥa yāh , wa mi nal la żī na asy ra kụ ya wad du a ḥa du hum lau yu 'am ma ru al fa sa nah , wa mā hu wa bi mu zaḥ zi ḥi hī mi nal 'a żā bi ay yu 'am mar , wall llā hu ba ṣī rum bi mā ya' ma lụn";;
105;97;2;qul mang kā na 'a duw wal li jib rī la fa in na hụ naz za la hụ 'a lā qal bi ka bi `iż nil lā hi mu ṣad di qal li mā bai na ya dai hi wa hu daw wa busy rā lil mu` mi nīn;;
106;98;2;mang kā na 'a duw wal lil lā hi wa ma lā `i ka ti hī wa ru su li hī wa jib rī la wa mī kā la fa in nall llā ha 'a duw wul lil kā fi rīn;;
107;99;2;"wa la qad an zal nā i lai ka ā yā tim bay yi nāt , wa mā yak fu ru bi hā il lal fā si qụn";;
108;100;2;"a wa kul la mā 'ā ha dụ 'ah dan na ba ża hụ fa rī qum min hum , bal ak ṡa ru hum lā yu` mi nụn";;
109;101;2;wa lam mā jā `a hum ra sụ lum min 'in dil lā hi mu ṣad di qul li mā ma 'a hum na ba ża fa rī qum mi nal la żī na ụ tul ki tā ba ki tā ball llā hi wa rā `a ẓu hụ ri him ka `an na hum lā ya' la mụn;;
110;102;2;"wat ta ba 'ụ mā tat lusy sya yā ṭī nu 'a lā mul ki su lai mān , wa mā ka fa ra su lai mā nu wa lā kin nasy sya yā ṭī na ka fa rụ yu 'al li mụ nan nā sas siḥ ra wa mā un zi la 'a lal ma la kai ni bi bā bi la hā rụ ta wa mā rụt , wa mā yu 'al li mā ni min a ḥa din ḥat tā ya qụ lā in na mā naḥ nu fit na tun fa lā tak fur , fa ya ta 'al la mụ na min hu mā mā yu far ri qụ na bi hī bai nal mar 'i wa zau jih , wa mā hum bi ḍār rī na bi hī min a ḥa din il lā bi `iż nil lāh , wa ya ta 'al la mụ na mā ya ḍur ru hum wa lā yan fa 'u hum , wa la qad 'a li mụ la ma nisy ta rā hu mā la hụ fil ā khi ra ti min kha lāq , wa la bi` sa mā sya rau bi hī an fu sa hum , lau kā nụ ya' la mụn";;
111;103;2;"wa lau an na hum ā ma nụ wat ta qau la ma ṡụ ba tum min 'in dil lā hi khaīr , lau kā nụ ya' la mụn";;
112;104;2;yā ay yu hal la żī na ā ma nụ lā ta qụ lụ rā 'i nā wa qụ lun ẓur nā was ma 'ụ wa lil kā fi rī na 'a żā bun a līm;;
113;105;2;"mā ya wad dul la żī na ka fa rụ min ah lil ki tā bi wa lal musy ri kī na ay yu naz za la 'a lai kum min khai rim mir rab bi kum , wall llā hu yakh taṣ ṣu bi raḥ ma ti hī may ya syā` , wall llā hu żul faḍ lil 'a ẓīm";;
114;106;2;"mā nan sakh min ā ya tin au nun si hā na` ti bi khai rim min hā au miṡ li hā , a lam ta' lam an nall llā ha 'a lā kul li syai `ing qa dīr";;
115;107;2;"a lam ta' lam an nall llā ha la hụ mul kus sa mā wā ti wal arḍ , wa mā la kum min dụ nil lā hi miw wa liy yiw wa lā na ṣīr";;
116;108;2;"am tu rī dụ na an tas `a lụ ra sụ la kum ka mā su `i la mụ sā ming qabl , wa may ya ta bad da lil kuf ra bil ī mā ni fa qad ḍal la sa wā `as sa bīl";;
117;109;2;"wad da ka ṡī rum min ah lil ki tā bi lau ya rud dụ na kum mim ba' di ī mā ni kum kuf fā rā , ḥa sa dam min 'in di an fu si him mim ba' di mā ta bay ya na la hu mul ḥaqq , fa' fụ waṣ fa ḥụ ḥat tā ya` ti yall llā hu bi `am rih , in nall llā ha 'a lā kul li syai `ing qa dīr";;
118;110;2;"wa a qī muṣ ṣa lā ta wa ā tuz za kāh , wa mā tu qad di mụ li `an fu si kum min khai rin ta ji dụ hu 'in dall llāh , in nall llā ha bi mā ta' ma lụ na ba ṣīr";;
119;111;2;"wa qā lụ lay yad khu lal jan na ta il lā mang kā na hụ dan au na ṣā rā , til ka a mā niy yu hum , qul hā tụ bur hā na kum ing kun tum ṣā di qīn";;
120;112;2;ba lā man as la ma waj ha hụ lil lā hi wa hu wa muḥ si nun fa la hū aj ru hụ 'in da rab bi hī wa lā khau fun 'a lai him wa lā hum yaḥ za nụn;;
121;113;2;"wa qā la til ya hụ du lai sa tin na ṣā rā 'a lā syai `iw wa qā la tin na ṣā rā lai sa til ya hụ du 'a lā syai `iw wa hum yat lụ nal ki tāb , ka żā li ka qā lal la żī na lā ya' la mụ na miṡ la qau li him , fall llā hu yaḥ ku mu bai na hum yau mal qi yā ma ti fī mā kā nụ fī hi yakh ta li fụn";;
122;114;2;"wa man aẓ la mu mim mam ma na 'a ma sā ji dall llā hi ay yuż ka ra fī has mu hụ wa sa 'ā fī kha rā bi hā , u lā `i ka mā kā na la hum ay yad khu lụ hā il lā khā `i fīn , la hum fid dun yā khiz yuw wa la hum fil ā khi ra ti 'a żā bun 'a ẓīm";;
123;115;2;"wa lil lā hil masy ri qu wal mag ri bu fa ai na mā tu wal lụ fa ṡam ma waj hull llāh , in nall llā ha wā si 'un 'a līm";;
124;116;2;"wa qā lut ta kha żall llā hu wa la dan sub ḥā nah , bal la hụ mā fis sa mā wā ti wal arḍ , kul lul la hụ qā ni tụn";;
125;117;2;"ba dī 'us sa mā wā ti wal arḍ , wa i żā qa ḍā am ran fa in na mā ya qụ lu la hụ kun fa ya kụn";;
126;118;2;"wa qā lal la żī na lā ya' la mụ na lau lā yu kal li mu nall llā hu au ta` tī nā ā yah , ka żā li ka qā lal la żī na ming qab li him miṡ la qau li him , ta syā ba hat qu lụ bu hum , qad bay yan nal ā yā ti li qau miy yụ qi nụn";;
127;119;2;in nā ar sal nā ka bil ḥaq qi ba syī raw wa na żī raw wa lā tus `a lu 'an aṣ ḥā bil ja ḥīm;;
128;120;2;"wa lan tar ḍā 'ang kal ya hụ du wa lan na ṣā rā ḥat tā tat ta bi 'a mil la ta hum , qul in na hu dall llā hi hu wal hu dā , wa la `i nit ta ba' ta ah wā `a hum ba' dal la żī jā `a ka mi nal 'il mi mā la ka mi nall llā hi miw wa liy yiw wa lā na ṣīr";;
129;121;2;"al la żī na ā tai nā hu mul ki tā ba yat lụ na hụ ḥaq qa ti lā wa tih , u lā `i ka yu` mi nụ na bih , wa may yak fur bi hī fa u lā `i ka hu mul khā si rụn";;
130;122;2;yā ba nī is rā `ī laż ku rụ ni' ma ti yal la tī an 'am tu 'a lai kum wa an nī faḍ ḍal tu kum 'a lal 'ā la mīn;;
131;123;2;wat ta qụ yau mal lā taj zī naf sun 'an naf sin syai `aw wa lā yuq ba lu min hā 'ad luw wa lā tan fa 'u hā sya fā 'a tuw wa lā hum yun ṣa rụn;;
132;124;2;"wa i żib ta lā ib rā hī ma rab bu hụ bi ka li mā tin fa a tam ma hunn , qā la in nī jā 'i lu ka lin nā si i mā mā , qā la wa min żur riy ya tī , qā la lā ya nā lu 'ah diẓ ẓā li mīn";;
