Sura;Aya;Bagian;Arabic;Transliteration
2;7;1;خَتَمَ اللّٰهُ عَلٰى قُلُوْبِهِمْ وَعَلٰى سَمْعِهِمْ ۗ وَعَلٰٓى;khatamallāhu 'alā qulūbihim wa'alā sam'ihim wa'alā 
2;7;2;اَبْصَارِهِمْ غِشَاوَةٌ وَّلَهُمْ عَذَابٌ عَظِيْمٌ ࣖ;abṣārihim gisyāwatun walahum 'ażābun 'aẓīmun 
2;8;1;وَمِنَ النَّاسِ مَنْ يَّقُوْلُ اٰمَنَّا بِاللّٰهِ وَبِالْيَوْمِ الْاٰخِرِ وَمَا هُمْ بِمُؤْمِنِيْنَۘ;wa minan-nāsi may yaqụlu āmannā billāhi wa bil-yaumil-ākhiri wa mā hum bimu`minīn
2;9;1;يُخٰدِعُوْنَ اللّٰهَ وَالَّذِيْنَ اٰمَنُوْا ۚ وَمَا يَخْدَعُوْنَ اِلَّآ اَنْفُسَهُمْ وَمَا يَشْعُرُوْنَۗ;yukhādi'ụnallāha wallażīna āmanụ, wa mā yakhda'ụna illā anfusahum wa mā yasy'urụn
2;10;1;فِيْ قُلُوْبِهِمْ مَّرَضٌۙ فَزَادَهُمُ اللّٰهُ مَرَضًاۚ;fī qulūbihim maraḍun fazādahumullāhu maraḍan 
2;10;2;وَلَهُمْ عَذَابٌ اَلِيْمٌ ۢ ەۙ بِمَا كَانُوْا يَكْذِبُوْنَ;walahum 'ażābun alīmun bimā kānū yakżibūna
2;11;1;وَاِذَا قِيْلَ لَهُمْ لَا تُفْسِدُوْا فِى الْاَرْضِۙ قَالُوْٓا اِنَّمَا نَحْنُ مُصْلِحُوْنَ;wa iżā qīla lahum lā tufsidụ fil arḍi qālū innamā naḥnu muṣliḥụn
2;12;1;اَلَآ اِنَّهُمْ هُمُ الْمُفْسِدُوْنَ وَلٰكِنْ لَّا يَشْعُرُوْنَ;alā innahum humul-mufsidụna wa lākil lā yasy'urụn
2;13;1;وَاِذَا قِيْلَ لَهُمْ اٰمِنُوْا كَمَآ اٰمَنَ النَّاسُ قَالُوْٓا اَنُؤْمِنُ كَمَآ اٰمَنَ;wāiżā qīla lahum āminū kamā āmanan-nāsu qālū anu`minu kamā āmana
2;13;2;السُّفَهَاۤءُ ۗ اَلَآ اِنَّهُمْ هُمُ السُّفَهَاۤءُ وَلٰكِنْ لَّا يَعْلَمُوْنَ;s-sufahā `u alā innahum humus-sufahā `u walākin lā ya'lamūna
2;14;1;وَاِذَا لَقُوا الَّذِيْنَ اٰمَنُوْا قَالُوْٓا اٰمَنَّا ۚ وَاِذَا خَلَوْا اِلٰى;wāiżā laqūllażīna āmanū qālū āmannā wāiżā khalaw ilā
2;14;2;شَيٰطِيْنِهِمْ ۙ قَالُوْٓا اِنَّا مَعَكُمْ ۙاِنَّمَا نَحْنُ مُسْتَهْزِءُوْنَ;syayāṭīnihim qālū innā ma'akum innamā naḥnu mustahzi`ūna
2;15;1;اَللّٰهُ يَسْتَهْزِئُ بِهِمْ وَيَمُدُّهُمْ فِيْ طُغْيَانِهِمْ يَعْمَهُوْنَ;allāhu yastahzi`u bihim wa yamudduhum fī ṭugyānihim ya'mahụn
2;16;1;اُولٰۤىِٕكَ الَّذِيْنَ اشْتَرَوُا الضَّلٰلَةَ بِالْهُدٰىۖ;ūlā ikallażīnasy-tarawuḍ-ḍalālata bilhudā 
2;16;2;فَمَا رَبِحَتْ تِّجَارَتُهُمْ وَمَا كَانُوْا مُهْتَدِيْنَ;famā rabiḥat tijāratuhum wamā kānū muhtadīna
2;17;1;مَثَلُهُمْ كَمَثَلِ الَّذِى اسْتَوْقَدَ نَارًا ۚ فَلَمَّآ اَضَاۤءَتْ مَا حَوْلَهٗ;maṡaluhum kamaṡalillażis-tawqada nāran falammā aḍā `at mā ḥawlah 
2;17;2;ذَهَبَ اللّٰهُ بِنُوْرِهِمْ وَتَرَكَهُمْ فِيْ ظُلُمٰتٍ لَّا يُبْصِرُوْنَ;żahaballāhu binūrihim watarakahum fī ẓulumātin lā yubṣirūna
2;18;1;صُمٌّ ۢ بُكْمٌ عُمْيٌ فَهُمْ لَا يَرْجِعُوْنَۙ;ṣummum bukmun 'umyun fa hum lā yarji'ụn
2;19;1;اَوْ كَصَيِّبٍ مِّنَ السَّمَاۤءِ فِيْهِ ظُلُمٰتٌ وَّرَعْدٌ وَّبَرْقٌۚ;aw kaṣayyibin minas-samā `i fīhi ẓulumātun wara'dun wabarqun 
2;19;2;يَجْعَلُوْنَ اَصَابِعَهُمْ فِيْٓ اٰذَانِهِمْ مِّنَ الصَّوَاعِقِ;yaj'alūna aṣābi'ahum fī āżānihim minaṣ-ṣawā'iqi
2;19;3;حَذَرَ الْمَوْتِۗ وَاللّٰهُ مُحِيْطٌۢ بِالْكٰفِرِيْنَ;ḥażaralmawti wāllāhu muḥīṭun bilkāfirīna
2;20;1;يَكَادُ الْبَرْقُ يَخْطَفُ اَبْصَارَهُمْ ۗ كُلَّمَآ اَضَاۤءَ لَهُمْ مَّشَوْا;yakādulbarqu yakhṭafu abṣārahum kullamā aḍā `a lahum masyaw
2;20;2;فِيْهِ ۙ وَاِذَآ اَظْلَمَ عَلَيْهِمْ قَامُوْا ۗوَلَوْ شَاۤءَ اللّٰهُ لَذَهَبَ;fīhi wāiżā aẓlama 'alayhim qāmū walaw syā `allāhu lażahaba
2;20;3;بِسَمْعِهِمْ وَاَبْصَارِهِمْ ۗ اِنَّ اللّٰهَ عَلٰى كُلِّ شَيْءٍ قَدِيْرٌ ࣖ;bisam'ihim wā abṣārihim innallāha 'alā kulli syay`in qadīrun 
2;21;1;يٰٓاَيُّهَا النَّاسُ اعْبُدُوْا رَبَّكُمُ الَّذِيْ خَلَقَكُمْ;yā ayyuhān-nāsu'-budū rabbakumullażī khalaqakum
2;21;2;وَالَّذِيْنَ مِنْ قَبْلِكُمْ لَعَلَّكُمْ تَتَّقُوْنَۙ;wāllażīna min qablikum la'allakum tattaqūna 
2;22;1;الَّذِيْ جَعَلَ لَكُمُ الْاَرْضَ فِرَاشًا وَّالسَّمَاۤءَ بِنَاۤءً ۖوَّاَنْزَلَ;l-ażī ja'ala lakumularḍa firāsyan wāssamā `a binā `an wā anzala
2;22;2;مِنَ السَّمَاۤءِ مَاۤءً فَاَخْرَجَ بِهٖ مِنَ الثَّمَرٰتِ رِزْقًا لَّكُمْ;minas-samā `i mā `an fā akhraja bih minaṡ-ṡamarāti rizqan lakum
2;22;3;ۚ فَلَا تَجْعَلُوْا لِلّٰهِ اَنْدَادًا وَّاَنْتُمْ تَعْلَمُوْنَ; falā taj'alū lillāhi andādan wā antum ta'lamūna
2;23;1;وَاِنْ كُنْتُمْ فِيْ رَيْبٍ مِّمَّا نَزَّلْنَا عَلٰى عَبْدِنَا فَأْتُوْا بِسُوْرَةٍ مِّنْ;wāin kuntum fī raybin mimmā nazzalnā 'alā 'abdinā fa`tū bisūratin min
2;23;2;مِّثْلِهٖ ۖ وَادْعُوْا شُهَدَاۤءَكُمْ مِّنْ دُوْنِ اللّٰهِ اِنْ كُنْتُمْ صٰدِقِيْنَ;miṡlih wād'ū syuhadā `akum min dūnillāhi in kuntum ṣādiqīna
2;24;1;فَاِنْ لَّمْ تَفْعَلُوْا وَلَنْ تَفْعَلُوْا فَاتَّقُوا النَّارَ الَّتِيْ;fāin lam taf'alū walan taf'alū fāttaqūn-nārallatī
2;24;2;وَقُوْدُهَا النَّاسُ وَالْحِجَارَةُ ۖ اُعِدَّتْ لِلْكٰفِرِيْنَ;waqūduhān-nāsu wālḥijāratu u'iddat lilkāfirīna
2;25;1;وَبَشِّرِ الَّذِيْنَ اٰمَنُوْا وَعَمِلُوا الصّٰلِحٰتِ اَنَّ لَهُمْ جَنّٰتٍ تَجْرِيْ;wabasysyirillażīna āmanū wa'amilūṣ-ṣāliḥāti anna lahum jannātin tajrī
2;25;2;مِنْ تَحْتِهَا الْاَنْهٰرُ ۗ كُلَّمَا رُزِقُوْا مِنْهَا مِنْ ثَمَرَةٍ رِّزْقًا;min taḥtihālanhāru kullamā ruziqū minhā min ṡamaratin rizqan
2;25;3;ۙ قَالُوْا هٰذَا الَّذِيْ رُزِقْنَا مِنْ قَبْلُ وَاُتُوْا بِهٖ مُتَشَابِهًا ۗوَلَهُمْ; qālū hāżāllażī ruziqnā min qablu wāutū bih mutasyābihan walahum
2;25;4;فِيْهَآ اَزْوَاجٌ مُّطَهَّرَةٌ وَّهُمْ فِيْهَا خٰلِدُوْنَ;fīhā azwājun muṭahharatun wahum fīhā khālidūna
2;26;1;۞ اِنَّ اللّٰهَ لَا يَسْتَحْيٖٓ اَنْ يَّضْرِبَ مَثَلًا مَّا بَعُوْضَةً فَمَا فَوْقَهَا ۗ; innallāha lā yastaḥy an yaḍriba maṡalan mā ba'ūḍatan famā fawqahā 
2;26;2;فَاَمَّا الَّذِيْنَ اٰمَنُوْا فَيَعْلَمُوْنَ اَنَّهُ الْحَقُّ مِنْ رَّبِّهِمْ ۚ وَاَمَّا;fā ammāllażīna āmanū faya'lamūna annahulḥaqqu min rabbihim wā ammā
2;26;3;الَّذِيْنَ كَفَرُوْا فَيَقُوْلُوْنَ مَاذَآ اَرَادَ اللّٰهُ بِهٰذَا مَثَلًا ۘ يُضِلُّ;l-ażīna kafarū fayaqūlūna māżā arādallāhu bihāżā maṡalan yuḍillu
2;26;4;بِهٖ كَثِيْرًا وَّيَهْدِيْ بِهٖ كَثِيْرًا ۗ وَمَا يُضِلُّ بِهٖٓ اِلَّا الْفٰسِقِيْنَۙ;bih kaṡīran wayahdī bih kaṡīran wamā yuḍillu bih illālfāsiqīna 
2;27;1;الَّذِيْنَ يَنْقُضُوْنَ عَهْدَ اللّٰهِ مِنْۢ بَعْدِ مِيْثَاقِهٖۖ;l-ażīna yanquḍūna 'ahdallāhi min ba'di mīṡāqih 
2;27;2;وَيَقْطَعُوْنَ مَآ اَمَرَ اللّٰهُ بِهٖٓ اَنْ يُّوْصَلَ وَيُفْسِدُوْنَ;wayaqṭa'ūna mā amarallāhu bih an yūṣala wayufsidūna
2;27;3;فِى الْاَرْضِۗ اُولٰۤىِٕكَ هُمُ الْخٰسِرُوْنَ;filarḍi ūlā ika humulkhāsirūna
2;28;1;كَيْفَ تَكْفُرُوْنَ بِاللّٰهِ وَكُنْتُمْ اَمْوَاتًا فَاَحْيَاكُمْۚ;kayfa takfurūna billāhi wakuntum amwātan fā aḥyākum 
2;28;2;ثُمَّ يُمِيْتُكُمْ ثُمَّ يُحْيِيْكُمْ ثُمَّ اِلَيْهِ تُرْجَعُوْنَ;ṡumma yumītukum ṡumma yuḥyīkum ṡumma ilayhi turja'ūna
2;29;1;هُوَ الَّذِيْ خَلَقَ لَكُمْ مَّا فِى الْاَرْضِ جَمِيْعًا ثُمَّ اسْتَوٰٓى اِلَى;huwallażī khalaqa lakum mā filarḍi jamī'an ṡummas-tawā ilá
2;29;2;السَّمَاۤءِ فَسَوّٰىهُنَّ سَبْعَ سَمٰوٰتٍ ۗ وَهُوَ بِكُلِّ شَيْءٍ عَلِيْمٌ ࣖ;s-samā `i fasawwāhunna sab'a samāwātin wahuwa bikulli syay`in 'alīmun 
2;30;1;وَاِذْ قَالَ رَبُّكَ لِلْمَلٰۤىِٕكَةِ ِانِّيْ جَاعِلٌ فِى الْاَرْضِ خَلِيْفَةً ۗ قَالُوْٓا;wāiż qāla rabbuka lilmalā ikati innī jā'ilun filarḍi khalīfatan qālū 
2;30;2;اَتَجْعَلُ فِيْهَا مَنْ يُّفْسِدُ فِيْهَا وَيَسْفِكُ الدِّمَاۤءَۚ وَنَحْنُ نُسَبِّحُ;ataj'alu fīhā man yufsidu fīhā wayasfikud-dimā `a wanaḥnu nusabbiḥu
2;30;3;بِحَمْدِكَ وَنُقَدِّسُ لَكَ ۗ قَالَ اِنِّيْٓ اَعْلَمُ مَا لَا تَعْلَمُوْنَ;biḥamdika wanuqaddisu laka qāla innī a'lamu mā lā ta'lamūna
2;31;1;وَعَلَّمَ اٰدَمَ الْاَسْمَاۤءَ كُلَّهَا ثُمَّ عَرَضَهُمْ عَلَى الْمَلٰۤىِٕكَةِ;wa'allama ādamalasmā `a kullahā ṡumma 'araḍahum 'alálmalā ikati
2;31;2;فَقَالَ اَنْۢبِـُٔوْنِيْ بِاَسْمَاۤءِ هٰٓؤُلَاۤءِ اِنْ كُنْتُمْ صٰدِقِيْنَ;faqāla an bi ūnī biasmā `i hā `ulā `i in kuntum ṣādiqīna
2;32;1;قَالُوْا سُبْحٰنَكَ لَا عِلْمَ لَنَآ اِلَّا مَا عَلَّمْتَنَا ۗاِنَّكَ اَنْتَ الْعَلِيْمُ الْحَكِيْمُ;qālụ sub-ḥānaka lā 'ilma lanā illā mā 'allamtanā, innaka antal-'alīmul-ḥakīm
2;33;1;قَالَ يٰٓاٰدَمُ اَنْۢبِئْهُمْ بِاَسْمَاۤىِٕهِمْ ۚ فَلَمَّآ اَنْۢبَاَهُمْ;qāla yā ādamu an bi`hum biasmā ihim falammā an bā ahum
2;33;2;بِاَسْمَاۤىِٕهِمْۙ قَالَ اَلَمْ اَقُلْ لَّكُمْ اِنِّيْٓ اَعْلَمُ غَيْبَ السَّمٰوٰتِ;biasmā ihim qāla alam aqul lakum innī a'lamu gaybas-samāwāti
2;33;3;وَالْاَرْضِۙ وَاَعْلَمُ مَا تُبْدُوْنَ وَمَا كُنْتُمْ تَكْتُمُوْنَ;wālarḍi wā a'lamu mā tubdūna wamā kuntum taktumūna
2;34;1;وَاِذْ قُلْنَا لِلْمَلٰۤىِٕكَةِ اسْجُدُوْا لِاٰدَمَ فَسَجَدُوْٓا اِلَّآ;wāiż qulnā lilmalā ikatis-judū liādama fasajadū illā 
2;34;2;اِبْلِيْسَۗ اَبٰى وَاسْتَكْبَرَۖ وَكَانَ مِنَ الْكٰفِرِيْنَ;iblīsa abā wāstakbar a wakāna minalkāfirīna
2;35;1;وَقُلْنَا يٰٓاٰدَمُ اسْكُنْ اَنْتَ وَزَوْجُكَ الْجَنَّةَ وَكُلَا مِنْهَا رَغَدًا حَيْثُ;waqulnā yā ādamus-kun anta wazawjukaljannata wakulā minhā ragadan ḥayṡu
2;35;2;شِئْتُمَاۖ وَلَا تَقْرَبَا هٰذِهِ الشَّجَرَةَ فَتَكُوْنَا مِنَ الظّٰلِمِيْنَ;syi`tumā walā taqrabā hāżihisy-syajarata fatakūnā minaẓ-ẓālimīna
2;36;1;فَاَزَلَّهُمَا الشَّيْطٰنُ عَنْهَا فَاَخْرَجَهُمَا مِمَّا كَانَا;fā azallahumāsy-syayṭānu 'anhā fā akhrajahumā mimmā kānā
2;36;2;فِيْهِ ۖ وَقُلْنَا اهْبِطُوْا بَعْضُكُمْ لِبَعْضٍ عَدُوٌّ ۚ وَلَكُمْ;fīhi waqulnāh-biṭū ba'ḍukum liba'ḍin 'adūwun walakum
2;36;3;فِى الْاَرْضِ مُسْتَقَرٌّ وَّمَتَاعٌ اِلٰى حِيْنٍ;filarḍi mustaqarrun wamatā'un ilā ḥīnin
2;37;1;فَتَلَقّٰٓى اٰدَمُ مِنْ رَّبِّهٖ كَلِمٰتٍ فَتَابَ عَلَيْهِ ۗ اِنَّهٗ هُوَ التَّوَّابُ الرَّحِيْمُ;fa talaqqā ādamu mir rabbihī kalimātin fa tāba 'alaīh, innahụ huwat-tawwābur-raḥīm
2;38;1;قُلْنَا اهْبِطُوْا مِنْهَا جَمِيْعًا ۚ فَاِمَّا يَأْتِيَنَّكُمْ مِّنِّيْ;qulnāh-biṭū minhā jamī'an fāimmā ya`tiyannakum minnī
2;38;2;هُدًى فَمَنْ تَبِعَ هُدَايَ فَلَا خَوْفٌ عَلَيْهِمْ وَلَا هُمْ يَحْزَنُوْنَ;hudan faman tabi'a hudāya falā khawfun 'alayhim walā hum yaḥzanūna
2;39;1;وَالَّذِيْنَ كَفَرُوْا وَكَذَّبُوْا بِاٰيٰتِنَآ اُولٰۤىِٕكَ اَصْحٰبُ النَّارِ ۚ هُمْ فِيْهَا خٰلِدُوْنَ ࣖ;wallażīna kafarụ wa każżabụ bi`āyātinā ulā`ika aṣ-ḥābun-nār, hum fīhā khālidụn
2;40;1;يٰبَنِيْٓ اِسْرَاۤءِيْلَ اذْكُرُوْا نِعْمَتِيَ الَّتِيْٓ اَنْعَمْتُ عَلَيْكُمْ;yābanī isrā `īlaż-kurū ni'matiyallatī an'amtu 'alaykum
2;40;2;وَاَوْفُوْا بِعَهْدِيْٓ اُوْفِ بِعَهْدِكُمْۚ وَاِيَّايَ فَارْهَبُوْنِ;wā awfū bi'ahdī ūfi bi'ahdikum wāīyāya fārhabūni
2;41;1;وَاٰمِنُوْا بِمَآ اَنْزَلْتُ مُصَدِّقًا لِّمَا مَعَكُمْ وَلَا تَكُوْنُوْٓا اَوَّلَ كَافِرٍۢ;wāāminū bimā anzaltu muṣaddiqan limā ma'akum walā takūnū awwala kāfirin 
2;41;2;بِهٖ ۖ وَلَا تَشْتَرُوْا بِاٰيٰتِيْ ثَمَنًا قَلِيْلًا ۖوَّاِيَّايَ فَاتَّقُوْنِ;bih walā tasytarū biāyātī ṡamanan qalīlan wāīyāya fāttaqūni
2;42;1;وَلَا تَلْبِسُوا الْحَقَّ بِالْبَاطِلِ وَتَكْتُمُوا الْحَقَّ وَاَنْتُمْ تَعْلَمُوْنَ;wa lā talbisul-ḥaqqa bil-bāṭili wa taktumul-ḥaqqa wa antum ta'lamụn
2;43;1;وَاَقِيْمُوا الصَّلٰوةَ وَاٰتُوا الزَّكٰوةَ وَارْكَعُوْا مَعَ الرَّاكِعِيْنَ;wa aqīmuṣ-ṣalāta wa ātuz-zakāta warka'ụ ma'ar-rāki'īn
2;44;1;۞ اَتَأْمُرُوْنَ النَّاسَ بِالْبِرِّ وَتَنْسَوْنَ اَنْفُسَكُمْ; ata`murūnan-nāsa bilbirri watansawna anfusakum
2;44;2;وَاَنْتُمْ تَتْلُوْنَ الْكِتٰبَ ۗ اَفَلَا تَعْقِلُوْنَ;wā antum tatlūnalkitāba afalā ta'qilūna
2;45;1;وَاسْتَعِيْنُوْا بِالصَّبْرِ وَالصَّلٰوةِ ۗ وَاِنَّهَا لَكَبِيْرَةٌ اِلَّا عَلَى الْخٰشِعِيْنَۙ;wasta'īnụ biṣ-ṣabri waṣ-ṣalāh, wa innahā lakabīratun illā 'alal-khāsyi'īn
2;46;1;الَّذِيْنَ يَظُنُّوْنَ اَنَّهُمْ مُّلٰقُوْا رَبِّهِمْ وَاَنَّهُمْ اِلَيْهِ رٰجِعُوْنَ ࣖ;allażīna yaẓunnụna annahum mulāqụ rabbihim wa annahum ilaihi rāji'ụn
2;47;1;يٰبَنِيْٓ اِسْرَاۤءِيْلَ اذْكُرُوْا نِعْمَتِيَ الَّتِيْٓ اَنْعَمْتُ;yābanī isrā `īlaż-kurū ni'matiyallatī an'amtu
2;47;2;عَلَيْكُمْ وَاَنِّيْ فَضَّلْتُكُمْ عَلَى الْعٰلَمِيْنَ;'alaykum wā annī faḍḍaltukum 'alál'ālamīna
2;48;1;وَاتَّقُوْا يَوْمًا لَّا تَجْزِيْ نَفْسٌ عَنْ نَّفْسٍ شَيْـًٔا وَّلَا يُقْبَلُ;wāttaqū yawman lā tajzī nafsun 'an nafsin syay an walā yuqbalu
2;48;2;مِنْهَا شَفَاعَةٌ وَّلَا يُؤْخَذُ مِنْهَا عَدْلٌ وَّلَا هُمْ يُنْصَرُوْنَ;minhā syafā'atun walā yu`khażu minhā 'adlun walā hum yunṣarūna
2;49;1;وَاِذْ نَجَّيْنٰكُمْ مِّنْ اٰلِ فِرْعَوْنَ يَسُوْمُوْنَكُمْ سُوْۤءَ;wāiż najjaynākum min āli fir'awna yasūmūnakum sū `a
2;49;2;الْعَذَابِ يُذَبِّحُوْنَ اَبْنَاۤءَكُمْ وَيَسْتَحْيُوْنَ نِسَاۤءَكُمْ;l-'ażābi yużabbiḥūna abnā `akum wayastaḥyūna nisā `akum
2;49;3;ۗ وَفِيْ ذٰلِكُمْ بَلَاۤءٌ مِّنْ رَّبِّكُمْ عَظِيْمٌ; wafī żālikum balā `un min rabbikum 'aẓīmun
2;50;1;وَاِذْ فَرَقْنَا بِكُمُ الْبَحْرَ فَاَنْجَيْنٰكُمْ وَاَغْرَقْنَآ اٰلَ فِرْعَوْنَ وَاَنْتُمْ تَنْظُرُوْنَ;wa iż faraqnā bikumul-baḥra fa anjainākum wa agraqnā āla fir'auna wa antum tanẓurụn
2;51;1;وَاِذْ وٰعَدْنَا مُوْسٰىٓ اَرْبَعِيْنَ لَيْلَةً ثُمَّ اتَّخَذْتُمُ;wāiż wā'adnā mūsā arba'īna laylatan ṡumma ttakhażtumu
2;51;2;الْعِجْلَ مِنْۢ بَعْدِهٖ وَاَنْتُمْ ظٰلِمُوْنَ;l-'ijla min ba'dih wā antum ẓālimūna
2;52;1;ثُمَّ عَفَوْنَا عَنْكُمْ مِّنْۢ بَعْدِ ذٰلِكَ لَعَلَّكُمْ تَشْكُرُوْنَ;ṡumma 'afaunā 'angkum mim ba'di żālika la'allakum tasykurụn
2;53;1;وَاِذْ اٰتَيْنَا مُوْسَى الْكِتٰبَ وَالْفُرْقَانَ لَعَلَّكُمْ تَهْتَدُوْنَ;wa iż ātainā mụsal-kitāba wal-furqāna la'allakum tahtadụn
2;54;1;وَاِذْ قَالَ مُوْسٰى لِقَوْمِهٖ يٰقَوْمِ اِنَّكُمْ ظَلَمْتُمْ اَنْفُسَكُمْ;wāiż qāla mūsā liqawmih yāqawmi innakum ẓalamtum anfusakum
2;54;2;بِاتِّخَاذِكُمُ الْعِجْلَ فَتُوْبُوْٓا اِلٰى بَارِىِٕكُمْ فَاقْتُلُوْٓا;bittikhāżikumul'ijla fatūbū ilā bāri ikum fāqtulū 
2;54;3;اَنْفُسَكُمْۗ ذٰلِكُمْ خَيْرٌ لَّكُمْ عِنْدَ بَارِىِٕكُمْۗ فَتَابَ;anfusakum żālikum khayrun lakum 'inda bāri ikum fatāba
2;54;4;عَلَيْكُمْ ۗ اِنَّهٗ هُوَ التَّوَّابُ الرَّحِيْمُ;'alaykum innah huwat-tawwābur-raḥīmu
2;55;1;وَاِذْ قُلْتُمْ يٰمُوْسٰى لَنْ نُّؤْمِنَ لَكَ حَتّٰى نَرَى اللّٰهَ;wāiż qultum yāmūsā lan nu`mina laka ḥattā narállāha
2;55;2;جَهْرَةً فَاَخَذَتْكُمُ الصّٰعِقَةُ وَاَنْتُمْ تَنْظُرُوْنَ;jahratan fā akhażatkumuṣ-ṣā'iqatu wā antum tanẓurūna
2;56;1;ثُمَّ بَعَثْنٰكُمْ مِّنْۢ بَعْدِ مَوْتِكُمْ لَعَلَّكُمْ تَشْكُرُوْنَ;ṡumma ba'aṡnākum mim ba'di mautikum la'allakum tasykurụn
2;57;1;وَظَلَّلْنَا عَلَيْكُمُ الْغَمَامَ وَاَنْزَلْنَا عَلَيْكُمُ الْمَنَّ;waẓallalnā 'alaykumulgamāma wā anzalnā 'alaykumulmanna
2;57;2;وَالسَّلْوٰى ۗ كُلُوْا مِنْ طَيِّبٰتِ مَا رَزَقْنٰكُمْ ۗ وَمَا ظَلَمُوْنَا;wāssalwā kulū min ṭayyibāti mā razaqnākum wamā ẓalamūnā
2;57;3;وَلٰكِنْ كَانُوْٓا اَنْفُسَهُمْ يَظْلِمُوْنَ;walākin kānū anfusahum yaẓlimūna
2;58;1;وَاِذْ قُلْنَا ادْخُلُوْا هٰذِهِ الْقَرْيَةَ فَكُلُوْا مِنْهَا حَيْثُ;wāiż qulnād-khulū hāżihilqaryata fakulū minhā ḥayṡu
2;58;2;شِئْتُمْ رَغَدًا وَّادْخُلُوا الْبَابَ سُجَّدًا وَّقُوْلُوْا حِطَّةٌ;syi`tum ragadan wādkhulūlbāba sujjadan waqūlū ḥiṭṭatun
2;58;3;نَّغْفِرْ لَكُمْ خَطٰيٰكُمْ ۗ وَسَنَزِيْدُ الْمُحْسِنِيْنَ;nagfir lakum khaṭāyākum wasanazīdulmuḥsinīna
2;59;1;فَبَدَّلَ الَّذِيْنَ ظَلَمُوْا قَوْلًا غَيْرَ الَّذِيْ قِيْلَ لَهُمْ فَاَنْزَلْنَا;fabaddalallażīna ẓalamū qawlan gayrallażī qīla lahum fā anzalnā
2;59;2;عَلَى الَّذِيْنَ ظَلَمُوْا رِجْزًا مِّنَ السَّمَاۤءِ بِمَا كَانُوْا يَفْسُقُوْنَ ࣖ;'alállażīna ẓalamū rijzan minas-samā `i bimā kānū yafsuqūna 
2;60;1;۞ وَاِذِ اسْتَسْقٰى مُوْسٰى لِقَوْمِهٖ فَقُلْنَا اضْرِبْ بِّعَصَاكَ الْحَجَرَۗ فَانْفَجَرَتْ; wāiżis-tasqā mūsā liqawmih faqulnāḍ-rib bi'aṣākalḥajara fānfajarat
